Drug,Microbe,Label,Drug_ID,Microbe_ID
Curcumin,Escherichia coli,1,619,69
IDR-1018,Pseudomonas aeruginosa,1,814,125
2C-4,Mycobacterium smegmatis,0,245,112
Caspofungin,Pantoea agglomerans,0,530,116
Sulfadoxine,Lysinibacillus sphaericus,0,1226,106
Diphenyl methane,Eggerthella lenta,0,685,57
Ampicillin,Salmonella Typhi,0,437,132
"octane-1,8-diamine",Hepatitis C Virus ,0,1378,85
4-dimethyl-amino-cinnamaldehyde,Sphingomonas sp. Ibu-2,0,353,139
2-(2-(2-Chloroacetamido)-5-methylphenyl)-2-oxo-N-( prop-2-yn- 1-yl)acetamide,Escherichia coli,1,187,69
S-OSIP108,Pseudomonas libaniensis,0,1168,129
"13-(2-chloro-6-methylquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Staphylococcus haemolyticus,0,152,149
"Dihydroxybenzoic Acid (3,4-DHBA)",Eikenella corrodens,1,681,58
6-Amino Penicillinic acid,Proteus mirabilis,1,388,121
Tetrazol-1-yl,Mycobacterium leprae,0,1265,111
(Z)-3-(bromomethylene) isobenzofuran-1(3H)-one,Francisella novicida,0,99,74
"N-(1,3-Thiazol-2-yl)butanamide",Enteric bacteria and other eubacteria,0,970,59
Norfloxacin,Human immunodeficiency virus 1,0,1028,92
Shikonin,Staphylococcus saprophyticus,0,1190,150
2-bromooctanoic acid,Streptococcus sobrinus,0,239,164
Indole-3-acetaldehyde,Campylobacter jejuni,0,828,33
Rifalazil,Escherichia coli,1,1153,69
Rilpivirine,Thermus thermophilus ,0,1156,169
N-(4-Morpholinyl)butanamide,Human herpesvirus 5,0,978,90
Rifapentine ,Human immunodeficiency virus,0,1155,91
"3,4-Dichlorophenylalanine",Serratia marcescens,0,254,136
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-styryl-1,3,4-oxadiazole",Staphylococcus aureus,1,199,141
Quinupristin,Shigella flexneri,1,1133,138
(E)-Chalcone,Staphylococcus epidermis,0,90,147
Rimantadine,Pseudomonas libaniensis,0,1157,129
3-Nitrophenylalanine,Staphylococcus epidermis,1,290,147
Peptide 1,Stenotrophomonas maltophilia,0,1086,151
Paromomycin ,Dengue Virus Type 2,0,1068,53
Cefixime,Enteric bacteria and other eubacteria,0,547,59
Polyethyleneimine,Acinetobacter baumannii,1,1108,2
2-amino-6-chlorobenzoic acid,Enterobacter cloacae,0,233,63
S-methyl- L-cysteine,Bacillus amyloliquefaciens,0,1171,17
Furanone-3,Firmicutes,0,756,73
Epigallocatechin Gallate,Citrobacter freundii,1,710,43
Phenoxymethylpenicillin,Human herpesvirus 5,0,1091,90
5-fluorooxiindole,Enterococcus gallinarum,0,385,68
"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)dodecanamide",Porphyromonas gingivalis,0,967,119
Penicillenol A1,Staphylococcus aureus,1,1074,141
Palmitic acid,Trueperella pyogenes,0,1065,171
n-Hexane,Baker's yeast,0,1374,27
CGP-37157,Streptomyces sp. ,0,510,167
Diclofenac sodium,Bacillus anthracis,0,675,18
Penicillenol C1,Klebsiella planticola,0,1078,98
Clioquinol,Streptococcus salivarius,0,601,161
Betulin,Pseudomonas libaniensis,1,484,129
TMB-8,Klebsiella planticola,0,1239,98
2-(2-(2-Chloroacetamido)phenyl )-2-oxo-N-( prop-2-yn-1-yl )acetamide,Clostridium leptum,0,189,45
Ritonavir,Human herpesvirus 4,0,1158,89
Cinnamaldehyde,Vibrio harveyi,1,585,176
Clary sage,Pichia anomala,1,596,117
G H12,Streptococcus sanguinis,1,763,162
Tangerine oil,Mycobacterium leprae,0,1244,111
Benzalacetone,Pseudomonas chlororaphis,0,471,126
"4,5-dihydroxy-2,3-pentanedione",Pseudoalteromonas sp.,0,311,124
3-(2-Naphthyl)alanine,Halomonas pacifica,0,265,81
L-pipecolic acid,Human herpesvirus 4,0,877,89
"14,15,29,30-Tetrahydro-5H,20H-dibenzo[h,s]bis([1,2,3]triazolo)[5,1-c:5_,1_-n][1,4,7,12,15,18]hexaazacyclodocosine-6,12,13,21,27,28(7H,22H)-hexaone",Pseudomonas aeruginosa,1,160,125
Pentamethoxyflavone,Burkholderia cepacia,0,1083,29
3-Hydroxytyrosine,Pseudomonas fluorescens,0,284,127
IG-13,Burkholderia multivorans,0,815,30
Sodium ascorbate,Human parainfluenza virus type 2,0,1208,93
Dalbavancin,Pseudomonas putida,0,653,130
2-bromohexanoic acid,Cronobacter sakazakii,0,238,51
Nodakenetin,Bacteroides eggerthii,0,1026,23
2-Hexylmaleic anhydride,Salmonella enterica,1,219,133
"2-(4-(Trifluoromethyl)phenyl)-N-((2R,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)acetamide",Pseudomonas aeruginosa,1,201,125
LL-37,Acinetobacter baumannii,1,888,2
2-(2-(2-Azidoacetamido)-5-nitrophenyl)-2-oxo-N-(prop-2-yn-1-yl)acetamide,Escherichia coli,1,184,69
Terpinene-4-ol,Bacillus cereus,1,1258,19
Amphotericin B,Serratia marcescens,0,436,136
Quercetin-3-O-glucuronide,Staphylococcus aureus,1,1129,141
LL-19,Aggregatibacter actinomycetemcomitans,0,885,11
3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus epidermidis,1,276,146
Carvacrol,Mycobacterium smegmatis,0,529,112
4-Benzyl-sulfonyl-5-hydroxy-3-chloro-2(5H)-furanone,Actinomyces oris,0,320,7
S-(2-thiazoyl)-L-cysteine,Helicobacter pylori ,0,1165,82
3-Hydroxyphenylalanine,Staphylococcus epidermis,1,283,147
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Staphylococcus aureus,1,117,141
Cloxacillin,Clostridium perfringens ,1,606,48
Silver sulphate,Listeria monocytogenes serotype 4a,0,1198,105
Glipizide,Bacillus subtilis,1,782,21
Cefoperazone,Escherichia coli,1,551,69
Diazepam,Streptomyces gordonii,0,670,165
"14-dehydroxy-11,12-didehydroandrographolide- 3,19-bis(succinic acid) potasium sodium salt",Pseudomonas aeruginosa,1,163,125
4-Methylphenylalanine,Candida parapsilosis,0,338,39
Fosfomycin,Staphylococcus equorum,0,748,148
Penicillenol B1,Pseudomonas aeruginosa,1,1076,125
S-methyl- L-cysteine,Marinobacter hydrocarbonoclasticus,0,1171,107
"(2-(4-chlorophenyl)- 4-{[(6-methyl-2-pyridinyl)amino]methylene}-1,3-oxazol- 5(4H)-one)",Mycobacterium avium,0,13,110
"14-dehydroxy-11,12-didehydroandrographolide- 3,19-bis(succinic acid) potasium sodium salt",Staphylococcus cohnii,0,163,145
(2R)-2-amino-3-phenylmethanesulfinylpropanoic acid,Actinomyces oris,1,47,7
Scrambled LL-37,Candida krusei,0,1185,38
Ephedrine,Clostridium leptum,0,705,45
Rufloxacin,Human immunodeficiency virus,0,1161,91
Telaprevir ,Hepatitis C Virus ,0,1252,85
Streptorubin B,Human immunodeficiency virus 1,0,1217,92
Ursolic acid,Pseudomonas aeruginosa,1,1303,125
Methylthiopropylamine,Aggregatibacter actinomycetemcomitans,0,935,11
1-(4-methoxyphenyl)-3-p-tolyurea,Vibrio campbellii,0,127,174
Sodium Chloride,Pseudomonas fluorescens,1,1207,127
Lemon,Bacillus cereus,1,895,19
Diphenyl diselenide,Bacteroides vulgatus,0,683,26
Cidofovir,Human herpesvirus 5,1,584,90
2-Chloro-DL-Phenylalanine,Bacteroides fragilis,0,216,24
"(1-(4-chlorophenoxy)-3-[(4, 6-dimethyl-2-pyrimidinyl) thio]-2- propanol)",Stenotrophomonas maltophilia,0,0,151
"2-(2-chloro-5-fluorophenyl)-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole",Bacillus subtilis,0,191,21
D-Asparagine,Staphylococcus aureus,1,630,141
N -(3-nitro-4-hydroxy-benzylidene)benzohydrazide,Streptococcus mutans,1,959,155
2-Hydroxychalcone,Candida glabrata,0,220,36
Voriconazole,Lactobacillus fermenti,0,1319,102
Cloxacillin,Escherichia coli,1,606,69
D-2-Methylphenylalanine,Eggerthella lenta,0,627,57
Methyl benzethonium chloride,Candida albicans,1,931,34
"3,5-dimethylaniline",Bacillus licheniformis,0,260,20
dF17-6K,Pseudomonas japonica,0,1359,128
4-bromo-5-(dibromomethylene)-3-ethyl-2(5H)-furanone,Clostridium bacilli,0,348,44
Coumarin,Eggerthella lenta,0,616,57
Sulfamethazine,Streptococcus epidermidis,0,1229,152
alpha-pinene,Pichia anomala,1,1342,117
Clozapine,Candida albicans,1,607,34
Bacampicillin,Clostridium perfringens ,1,465,48
Methyl indole-7-carboxylate,Enterococcus faecium,0,934,67
hLF1-11,Influenza B virus,0,1367,96
(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid,Staphylococcus aureus,1,54,141
5-Chloroindole,Micrococcus luteus,0,378,108
Ceftizoxime,Bacillus cereus,0,562,19
N -(5-bromo-2-hydroxy-benzylidene)benzohydrazide,Staphylococcus epidermidis,1,961,146
D-LL-37,Staphylococcus aureus,1,636,141
alpha-Humulene,Candida albicans,1,1337,34
Octyl gallate,Pseudomonas aeruginosa,1,1043,125
(2R)-2-amino-3-(benzenesulfinyl)propanoic acid,Streptococcus sanguis,1,43,163
3-(2-Thienyl)alanine,Achromobacter xylosoxidans,0,268,1
"2,3-Dehydrosilybin",Streptococcus pneumoniae,0,170,158
3-(2-Thienyl)alanine,Halomonas pacifica,0,268,81
Hinokitiol,Pseudomonas aeruginosa,0,804,125
cat-AGE-RK1,Staphylococcus aureus,1,1350,141
(Z)-5-(chloromethylene) furan-2(5H)-one,Enterobacteria phage T4,0,109,65
Isosinensetin,Vibrio harveyi,1,846,176
D-Aspartate,Staphylococcus aureus,1,631,141
5-(dibromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,Salmonella enterica,1,369,133
Phloretin,Staphylococcus aureus,1,1094,141
Ceftazidime,Candida albicans,0,560,34
3-(3-Pyridinyl)alanine,Proteus vulgaris,0,269,122
Copper sulfate,Burkholderia cepacia,1,614,29
Oxyresveratrol,Lactobacillus fermenti,0,1055,102
VSL2,Enterococcus faecalis,1,1306,66
5-(dibromomethylene)-3-(1-bromoethyl)-2(5H)-furanone,Burkholderia pseudomallei,0,370,31
Lanthanum chloride,Pseudomonas fluorescens,1,893,127
Amikacin,Candida guiliermondi,0,430,37
Catechin,Burkholderia cenocepacia,1,531,28
para-toluidine,Klebsiella variicola,0,1385,100
Pyrvinium pamoate,Candida albicans,1,1126,34
4-nitropyridine N -oxide,Streptomyces rubiginosus,0,359,166
Amikacin,Escherichia coli,1,430,69
Yohimbine hydrochloride,Streptomyces rubiginosus,0,1323,166
Butyl gallate,Streptococcus mutans,1,502,155
Pentanol,Klebsiella variicola,0,1084,100
Nelfinavir,Streptococcus pneumoniae serotype 4,0,1011,159
Seg6L,Pseudomonas aeruginosa,1,1187,125
Colistin sodium methanesulfonate,Escherichia coli,1,611,69
Penicillin G,Neisseria gonorrhoeae,0,1081,114
(Z)-5-(chloromethylene) furan-2(5H)-one,Staphylococcus epidermidis,1,109,146
Cerulenin ,Coagulase- negative staphylococci,0,569,49
beta-Defensin-3,Cryptococcus neoformans,1,1347,52
2-Fluoro-L-phenylalanine,Staphylococcus epidermis,1,218,147
Pelargonidin,Bacillus cereus,0,1072,19
Undecanoic acid,Burkholderia cenocepacia,0,1299,28
S-(2-thienyl)-L-cysteine,Streptomyces rubiginosus,0,1166,166
Myxinidin2,Enterococcus faecium,0,957,67
"1-[2-(3-bromo-4-hydroxy-5-methoxyphenyl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",Pseudomonas aeruginosa,1,134,125
CGP-37157,Pseudomonas fluorescens,0,510,127
Vanillin,Corynebacterium ammoniagenes,0,1309,50
Fusidic Acid,Thermus thermophilus,1,761,168
16P,Staphylococcus epidermidis,1,164,146
Resveratrol,Pseudomonas aeruginosa,1,1148,125
"3,5-Difluoro-dl-phenylalanine",Trueperella pyogenes,0,256,171
Cefixime,Klebsiella pneumoniae,1,547,99
Hexachlorophene,Bacteroides uniformis,0,801,25
Meta-bromo-thiolactone,Desulfovibrio africanus,0,928,54
Hypericin,Aeromonas hydrophila,0,812,9
"2-geranyloxy-4,6-dihydroxybenzophenone",Staphylococcus epidermidis,1,241,146
3-geranyl-1-(2-methylpropanoyl)phloroglucinol,Staphylococcus aureus,1,297,141
Floxacillin ,Human immunodeficiency virus 1,0,741,92
"(5S)-1,7-bis(4-hydroxyphenyl)-5-O-_-D- apiofuranosyl(1 _ 6)-_-D-glucopyranosyloxyheptan-3-one",Human respiratory syncytial virus B,0,77,94
MUC7 20-mer,Streptococcus mutans,1,917,155
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-octanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",Shewanella oneidensis,0,67,137
"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",Arthrobacter sp. ,0,332,14
Epigallocatechin,Burkholderia multivorans,0,709,30
Vancomycin,Staphylococcus caprae,1,1307,143
BisEDT-RIP,Staphylococcus aureus,1,490,141
Pseudomonas Quinolone Signal,Streptococcus mutans,1,1120,155
14-alpha-lipoyl andrographolide,Pseudomonas aeruginosa,1,162,125
"Butane-1,4-diamine",Aeromonas hydrophila,0,496,9
Epigallocatechin Gallate,Streptococcus mutans,1,710,155
Ephedrine,Cronobacter sakazakii,0,705,51
"1-[2-(naphthalen-1-yl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",Staphylococcus epidermidis,1,135,146
4-Hydroxychalcone,Haemophilus influenzae,1,333,78
L-Canavanine,Shigella flexneri,0,867,138
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",Enterococcus faecalis,1,23,66
Benzoylperoxide,Human herpesvirus 1 ,0,479,87
Amprenavir,Streptococcus pneumoniae,0,438,158
2-(2-(2-Azidoacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,Pseudomonas aeruginosa,1,182,125
Vanillic acid,Klebsiella variicola,0,1308,100
(Z)-4-bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,Lactobacillus fermenti,0,104,102
4-dimethyl-amino-cinnamaldehyde,Clostridium pasteurianum,0,353,46
L-carnosine,Pseudomonas fluorescens,0,873,127
Cefotetan,Desulfovibrio africanus,0,554,54
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-nitrophenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Lactobacillus fermenti,0,118,102
5-fluorooxiindole,Burkholderia multivorans,0,385,30
"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)hexanamide",Raoultella ornithinolytica,0,968,131
D-galactose cluster,Aggregatibacter actinomycetemcomitans,0,643,11
Scrambled LL-37,Staphylococcus aureus,0,1185,141
Mezlocillin,Francisella novicida,0,938,74
G2,Streptococcus mutans,1,765,155
Macromomycin B,Influenza B virus,0,918,96
Pa-MAP,Burkholderia pseudomallei,0,1063,31
"Dihydroxybenzoic Acid (2,4-DHBA)",Proteus vulgaris,0,680,122
"3,3-dimethyl-13-{9-methyl-[1,2,3,4]tetrazolo[1,5-a]quinolin-4-yl}-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Shigella flexneri,0,249,138
4-Methoxychalcone,Thermus thermophilus ,0,336,169
Sulfadoxine,Plasmodium falciparum,1,1226,118
Propyl gallate,Enterococcus faecalis,1,1117,66
2- geranyloxy-1-(2-methylbutanoyl)phloroglucinol,Staphylococcus aureus,1,178,141
"13-(2-chloro-7-methylquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Pseudomonas aeruginosa,1,154,125
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",Dihydropteroate synthase type-1,0,17,55
Ephedrine,Yersinia enterocolitica,0,705,179
Nobiletin,Hepatitis B virus D,0,1025,83
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Varicella-zoster virus,0,117,172
Lemon,Escherichia coli,1,895,69
Norbgugaine 12,Pseudomonas aeruginosa,1,1027,125
Hamamelitannin,Pseudomonas aeruginosa,1,794,125
(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid,Streptococcus mutans,1,45,155
K4-S4,Raoultella ornithinolytica,0,851,131
Gossypetin hexamethyl ether,Pseudomonas putida,0,787,130
7-formylindole,Streptococcus epidermidis,0,405,152
Aniline,Desulfovibrio africanus,0,440,54
6-Chlorooxindole,Clostridium perfringens ,0,392,48
Naringenin,Escherichia coli,1,1009,69
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-decanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",Acinetobacter nosocomialis,0,65,3
3-(2-Thienyl)-D-alanine,Staphylococcus aureus,1,267,141
C12HSL,Eubacterium ramulus,0,503,72
S-(2-thiazoyl)-L-cysteine,Enterobacter ludwigi,0,1165,64
2-bromohexanoic acid,Pseudomonas aeruginosa,1,238,125
Zinc sulfate,Pseudomonas aeruginosa,1,1332,125
D-Cystine,Staphylococcus aureus,1,634,141
"3-{2-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]ethyl}-5-methylidene-N-phenyl-2,5-dihydrofuran-2-amine",Staphylococcus aureus,1,306,141
4-Methylphenylalanine,Staphylococcus epidermis,1,338,147
Glycinamide hydrochloride,Aggregatibacter actinomycetemcomitans,0,784,11
LL-37,Burkholderia thailandensis,1,888,32
Triclosan,Enterococcus faecalis,0,1284,66
Rifalazil,Baker's yeast,0,1153,27
Rosmarinic acid,Escherichia coli,0,1159,69
Chelerythrine,Staphylococcus aureus,1,572,141
"(5Z)-2-tert-butyl-5-{[3-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",Eubacterium ramulus,0,86,72
Lipoic acid,Streptococcus sobrinus,0,902,164
Gallocatechin,Eikenella corrodens,1,772,58
Benzathine benzylpenicillin,Kocuria rhizophila,0,473,101
Ceftobiprole,Providencia stuartii,0,563,123
(2Z)-N-hexyl-2-hydroxy-3-[4-(trifluoromethyl)phenyl]prop-2-enamide,Thermus thermophilus ,0,68,169
Silver nitrate,Staphylococcus aureus,1,1196,141
3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Dengue Virus Type 2,0,276,53
Ciprofloxacin,Aeromonas sobria,0,590,10
Aceroside VIII,Pseudomonas aeruginosa,1,417,125
Flavone,Influenza B virus ,0,737,97
D-Leucine,Eubacterium ramulus,0,637,72
Linezolid,Clostridium pasteurianum,0,901,46
(E)-Chalcone,Human herpesvirus 3,0,90,88
IMB-2,Human immunodeficiency virus 1,0,818,92
CSP-C16,Clostridium leptum,0,513,45
Fraxin,Fusarium solani,0,750,75
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2yl)-5-(4-nitrophenyl)-1,3,4-oxadiazole",Listeria monocytogenes serotype 4a,0,200,105
Asperdiol,Influenza A virus ,0,446,95
2-(5-Bromo-2-(2-chloroacetamido)phenyl )-2-oxo-N-( prop-2-yn-1-yl)acetamide,Pseudomonas aeruginosa,1,209,125
"(5Z)-2-(1,1-dichloro-2-phenylethyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",Staphylococcus aureus,1,78,141
2(5H)-furanone,Propionibacterium acnes,0,167,120
D-2-aminoadipic acid,Pseudomonas japonica,0,628,128
trans-Stillbene,Morganella morganii,0,1393,109
Carolacton,Corynebacterium ammoniagenes,0,528,50
Gentamicin,Staphylococcus chromogenes,0,779,144
Tangerine oil,Staphylococcus aureus,1,1244,141
Quercetin-3-O-glucuronide,Burkholderia cenocepacia,0,1129,28
P15-CSP,Human herpesvirus 3,0,1058,88
Phenanthrene,Eubacterium ramulus,0,1088,72
Econazole nitrate,Enteric bacteria and other eubacteria,0,695,59
Sinefungin,Actinoplanes missouriensis,0,1202,8
(2E)-N-[3-(1H-imidazol-1-yl)propyl]-3-phenylprop-2-enamide,Proteus vulgaris,0,39,122
Rosmarinic acid,Pseudomonas japonica,0,1159,128
D-Cystine,Staphylococcus epidermis,1,634,147
6-Amino Penicillinic acid,Streptococcus mutans,1,388,155
Fluspiriline,Bacteroides fragilis,0,745,24
Peptide 1037,Pseudomonas aeruginosa,1,1087,125
6-MO-LF11-227,Halomonas pacifica,0,395,81
1-{2-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,Streptococcus parasanguinis,0,140,157
Carvacrol,Staphylococcus aureus,1,529,141
Sulfisoxazole,Escherichia coli,1,1236,69
Lys-a1,Enterobacter cloacae,0,910,63
Phosphorylserine,Staphylococcus aureus,1,1097,141
"2-(4-Chlorophenyl)-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole",Aeromonas hydrophila,0,203,9
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(phenylthio)-1,3,4-oxadiazole",Staphylococcus aureus,1,196,141
"(5E)-5-decylidene-1,3-thiazolidine-2,4-dione",Klebsiella planticola,0,72,98
Chrysophanol,Pseudomonas aeruginosa,1,581,125
Asperdiol,Candida spp.,0,446,40
Saquinavir,Varicella-zoster virus,0,1183,172
(R)-2-Amino-3-biphenyl-3-yl-propionic acid,Streptococcus mutans,0,92,155
Teichoplanin,Streptococcus epidermidis,0,1250,152
kappa-Pyrosulfite,Propionibacterium acnes,0,1368,120
"(1-(4-chlorophenoxy)-3-[(4, 6-dimethyl-2-pyrimidinyl) thio]-2- propanol)",Vibrio harveyi,1,0,176
Pelargonidin,Actinomyces oris,0,1072,7
C4-HSL,Aeromonas sobria,1,506,10
Aniline,Burkholderia pseudomallei,0,440,31
Ssp (A4K-A11K),Human herpesvirus 1 ,0,1212,87
Calanolide A,Human immunodeficiency virus 1,1,518,92
Pro-Gly,Bacillus anthracis,0,1114,18
"(Z)-5-octylidenethiazolidine-2,4-dione",Candida krusei,0,111,38
(2E)-N-[3-(1H-indol-3-yl)propyl]-3-phenylprop-2-enamide,Salmonella Typhi,0,40,132
Cefotaxime,Bacillus subtilis,1,553,21
Clove oil,Pseudomonas aeruginosa,1,605,125
L-Aspartate,Staphylococcus aureus,1,866,141
Penicillenol B2,Staphylococcus aureus,1,1077,141
Lymecycline,Burkholderia cenocepacia,0,909,28
"N1-[7-(trifluoromethyl)quinolin-4-yl]dodecane-1,12-diamine",Clostridium leptum,0,994,45
Vitamin E,Escherichia coli,1,1317,69
Myristic acid,Proteus vulgaris,1,952,122
Chromate,Burkholderia cepacia,0,579,29
2-(2-(2-Azidoacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,Staphylococcus haemolyticus,0,182,149
Micafungin,Halomonas pacifica,0,939,81
Indole-3-acetaldehyde,Pseudomonas aeruginosa,1,828,125
Indole-3-acetaldehyde,Dihydropteroate synthase type-1,0,828,55
Cadmium Ion,Human herpesvirus 5,0,515,90
GW-9662,Schistosoma,0,768,134
Cycloserine ,Pseudomonas libaniensis,0,624,129
2-(2-(2-Azidoacetamido)-5-nitrophenyl)-2-oxo-N-(prop-2-yn-1-yl)acetamide,Acinetobacter sp.,0,184,5
Betulin,Yersinia enterocolitica,0,484,179
Sulfathiazole,Human herpesvirus 4,0,1235,89
Rufloxacin,Burkholderia cepacia,0,1161,29
Levofloxacin,Enterobacteria phage T4,0,897,65
"3,3-dimethyl-13-{8-methyl-[1,2,3,4]tetrazolo[1,5-a]quinolin-4-yl}-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Lysinibacillus sphaericus,0,248,106
Prolificin A,Staphylococcus epidermidis,1,1115,146
Pyrimidinedione,Staphylococcus aureus,1,1124,141
"N 3-(2-thienylcarbonyl)-4-bromo-1,5-dimethyl-1H-pyrazole-3-carbohydrazide",Bacillus licheniformis,0,964,20
