drug_id,drug_name,microbe_id,microbe_name,label
1059,Pantaprazole,21,Bacillus subtilis,1
1145,Rifampicin,67,Escherichia coli,1
1139,Resveratrol,30,Burkholderia multivorans,1
919,Menthol,9,Aeromonas hydrophila,1
929,Methylthiopropylamine,43,Citrobacter freundii,0
32,(2E)-1-[4-(3-nitropyridin-2-yl)piperazin-1-yl]-3-phenylprop-2-en-1-one,108,Mycobacterium smegmatis,0
369,5-(dibromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,91,Human respiratory syncytial virus B,0
200,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2yl)-5-(4-nitrophenyl)-1,3,4-oxadiazole",29,Burkholderia cepacia,0
1375,trans-2-Pentenal,170,Vibrio cholerae,1
699,Enoxacin,75,Haemophilus influenzae,1
850,KT2,63,Enterobacteria phage T4,0
253,"3,4-Dichloro-cinnamaldehyde",170,Vibrio cholerae,1
882,LL-37,137,Staphylococcus aureus,1
295,3-fluoroaniline,24,Bacteroides fragilis,0
1161,S-ethyl-L-cysteine,159,Streptococcus sanguis,1
111,"(Z)-5-octylidenethiazolidine-2,4-dione",116,Propionibacterium acnes,1
185,2-(2-(2-Azidoacetamido)phenyl)-2-oxo-N-(prop-2-yn-1-yl)acetamide,47,Clostridium perfringens,0
981,N-[(3-chloro-isoquinolin-4-yl)methylene]benzohydrazide,121,Pseudomonas aeruginosa,1
1257,Thymol,133,Shewanella oneidensis,0
538,Cefadroxil,154,Streptococcus pneumoniae,1
671,Dicloxacillin,73,Gardnerella vaginalis,0
759,G10KHc,121,Pseudomonas aeruginosa,1
890,Lemon oil,124,Pseudomonas japonica,0
971,N-(4-Morpholinyl)butanamide,65,Enterococcus faecium,0
387,"6-(4-chlorophenyl)-1,3-dimethyl-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",21,Bacillus subtilis,1
1254,Thimerosal,132,Serratia marcescens,0
368,5-(dibromomethylene)-3-(1-acetoxyethyl)-2(5H)-furanone,129,Salmonella enterica,1
856,L- K6L9,121,Pseudomonas aeruginosa,1
1145,Rifampicin,93,Influenza B virus,0
170,"2,3-Dehydrosilybin",44,Clostridium bacilli,0
1273,Trimethoprim-sulfamethoxazole,147,Stenotrophomonas maltophilia,1
860,L-Aspartate,145,Staphylococcus haemolyticus,1
834,Isohydnocarpin,106,Mycobacterium avium,0
904,Lys-a1,151,Streptococcus mutans,1
284,3-Hydroxytyrosine,87,Human herpesvirus 5,0
752,Furanone-5,83,Hepatitis C virus,0
143,1-{4-phenyl-2-[(E)-2-[4-(trifluoromethoxy)phenyl]ethenyl]quinolin-3-yl}ethan-1-one,121,Pseudomonas aeruginosa,1
755,Furvina,121,Pseudomonas aeruginosa,1
1365,p-nitrophenyl glycerol,117,Proteus mirabilis,1
92,(R)-2-Amino-3-biphenyl-3-yl-propionic acid,39,Candida parapsilosis,0
492,Bismuth oxide nanoparticle,12,Amycolatopsis orientalis,0
1165,S-propyl-L-cysteine,151,Streptococcus mutans,1
475,"Benzenesul-fonamide,4-amino-N-methyl-N-[3-(3,4,7,8-tetrahydro-2,4-dioxo-2H-thiopyrano[4,3-d]pyrimidin-1(5H)-yl)propyl",2,Acinetobacter baumannii,1
186,2-(2-(2-Chloroacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,85,Human herpesvirus 3,0
36,"(2E)-5-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-formylpent-2-enoic acid",151,Streptococcus mutans,1
194,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(ethylthio)-1,3,4-oxadiazole",63,Enterobacteria phage T4,0
1348,digoxin,56,Eggerthella lenta,1
656,Delavirdine,89,Human immunodeficiency virus 1,1
156,"13-(2-chloroquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",120,Pseudoalteromonas sp.,0
676,"Dihydroxybenzoic Acid (3,4-DHBA)",57,Eikenella corrodens,1
737,Flucloxacillin,47,Clostridium perfringens,1
385,5-fluorooxiindole,121,Pseudomonas aeruginosa,1
502,Butyl gallate,137,Staphylococcus aureus,1
992,NA10,138,Staphylococcus capitis,0
327,4-Ethylguaiacol,67,Escherichia coli,1
457,Azlocillin,100,Listeria monocytogenes,1
115,"1,3-bis[3-chloro-5-(1,3-dichloropropane-2-yloxy)-2(5H)-furanone-4-ylsulfonyl]propane",21,Bacillus subtilis,1
56,"(2S,3R,4S,5S,6R)-3-(2-(1H-Indol-3-yl)acetamido)-6-(acetoxymethyl)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1
182,2-(2-(2-Azidoacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,121,Pseudomonas aeruginosa,1
1239,Telaprevir,83,Hepatitis C virus,1
16,"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1
1130,RK-25,165,Trichophyton mentagrophytes,0
1208,Streptorubin B,137,Staphylococcus aureus,1
258,"3,5-Dimethyl benzyl dodecyl beta-maltoside",121,Pseudomonas aeruginosa,1
688,Doxycycline,119,Providencia stuartii,0
288,3-Methyl-D-phenylalanine,118,Proteus vulgaris,0
1203,Ssp (A4K-A11K),151,Streptococcus mutans,1
590,Citral,105,Morganella morganii,0
1356,lin-SB056-1,142,Staphylococcus epidermidis,1
225,2-amino-3-(2-nitrophenyl)propanoic acid,94,Klebsiella planticola,0
432,Aminocyclopropane,173,Vibrio vulnificus,0
1043,Oseltamivir,43,Citrobacter freundii,0
775,Ginger oil,126,Pseudomonas putida,0
192,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(2,4-dichlorophenyl)-1,3,4-oxadiazole",22,Bacteroides,0
600,Clotrimazole,82,Hepatitis C Virus,0
1292,Vancomycin,65,Enterococcus faecium,1
401,7-chloroindole,121,Pseudomonas aeruginosa,1
855,Kojic acid,25,Bacteroides uniformis,0
142,"1-{2-[(E)-2-[3,5-bis(trifluoromethyl)phenyl]ethenyl]-4-phenylquinolin-3-yl}ethan-1-one",4,Acinetobacter oleiovorans,0
339,4-Nitro-D-phenylalanine,137,Staphylococcus aureus,1
384,5-fluoroindole,3,Acinetobacter nosocomialis,0
1185,Silver nanoparticles,154,Streptococcus pneumoniae,0
21,"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1
264,3-(2-Naphthyl)-D-alanine,35,Candida dubliniensis,0
382,5-bromomethylene-2 (5H)-furanone,10,Aeromonas sobria,1
151,"13-(2-chloro-6-methoxyquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,4aH,6H,11H,13H,13aH-indazolo[1,2-b]phthalazine-1,6,11-trione",121,Pseudomonas aeruginosa,1
1204,Stavudine,89,Human immunodeficiency virus 1,1
1227,Syringic acid,67,Escherichia coli,1
196,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(phenylthio)-1,3,4-oxadiazole",150,Streptococcus mitis,0
679,Diphenyl disulphide,151,Streptococcus mutans,1
912,Macromomycin B,170,Vibrio cholerae,1
800,Holothuroidin 1,144,Staphylococcus equorum,0
118,"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-nitrophenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",104,Micrococcus luteus,1
266,3-(2-Pyridinyl)alanine,137,Staphylococcus aureus,1
23,"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one",121,Pseudomonas aeruginosa,1
565,Cephalexin,21,Bacillus subtilis,1
761,GL13K,63,Enterobacteria phage T4,0
65,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-decanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",52,Dengue Virus Type 2,0
634,D-Phenylalanine,66,Enterococcus gallinarum,0
708,Erythromycin,83,Hepatitis C virus,0
543,Cefazolin,168,Vibrio anguillarum,0
1029,O-Methyl-D-tyrosine,137,Staphylococcus aureus,1
688,Doxycycline,121,Pseudomonas aeruginosa,1
662,Di-MB-LF11-215,161,Streptomyces gordonii,0
413,A-3,97,Kocuria rhizophila,0
143,1-{4-phenyl-2-[(E)-2-[4-(trifluoromethoxy)phenyl]ethenyl]quinolin-3-yl}ethan-1-one,21,Bacillus subtilis,1
1200,Sodium sulfate,103,Marinobacter hydrocarbonoclasticus,0
882,LL-37,71,Francisella novicida,1
111,"(Z)-5-octylidenethiazolidine-2,4-dione",136,Staphlococcus aureus,0
153,"13-(2-chloro-7-methoxyquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",121,Pseudomonas aeruginosa,1
1104,Praziquantel,46,Clostridium pasteurianum,0
1313,Zinc,67,Escherichia coli,1
137,1-methanesulfonyl-4-methylbenzene,121,Pseudomonas aeruginosa,1
1318,ZnO nanoparticles,121,Pseudomonas aeruginosa,1
1008,Nerolidol,34,Candida albicans,1
922,Meta-bromo-thiolactone,106,Mycobacterium avium,0
814,Idoxuridine,92,Influenza A virus,0
1157,S-(2-thienyl)-L-cysteine,151,Streptococcus mutans,1
532,Catechin gallate,13,Aquifex aeolicus,0
745,Fraxin,147,Stenotrophomonas maltophilia,1
888,Latamoxef,156,Streptococcus pyogenes,0
1127,R-Thanatin,39,Candida parapsilosis,0
232,2-amino-5-methoxy-5-oxopentanoic acid,171,Vibrio harveyi,0
649,Dalfopristin,65,Enterococcus faecium,1
925,Methyl benzethonium chloride,34,Candida albicans,1
652,Daptomycin,137,Staphylococcus aureus,1
1137,Reserpine,151,Streptococcus mutans,1
821,Indole,67,Escherichia coli,1
490,BisEDT-RIP,137,Staphylococcus aureus,1
680,Diphenyl methane,86,Human herpesvirus 4,0
266,3-(2-Pyridinyl)alanine,46,Clostridium pasteurianum,0
1049,P10,152,Streptococcus oralis,0
676,"Dihydroxybenzoic Acid (3,4-DHBA)",167,Varicella-zoster virus,0
410,7P-AC,76,Hafnia alvei,0
255,"3,4-Dimethoxychalcone",128,Salmonella Typhi,0
1163,S-phenyl-L-cysteine,7,Actinomyces oris,1
1147,Rilpivirine,38,Candida krusei,0
693,Ellagic Acid,137,Staphylococcus aureus,1
904,Lys-a1,157,Streptococcus salivarius,1
882,LL-37,20,Bacillus licheniformis,0
547,Cefmenoxime,67,Escherichia coli,1
397,6-fluoroindole,116,Propionibacterium acnes,0
207,"2-(4-methoxyphenyl)-N-(3-{[2-(4-methoxyphenyl)ethyl]imino}-1,4-dihydro-2-quinox alinylidene)ethanamine",151,Streptococcus mutans,1
811,IG-25,111,Obesumbacterium proteus,0
1023,Norspermidine,21,Bacillus subtilis,1
682,DispersinB-KSL-W wound gel,48,Coagulase- negative staphylococci,1
228,2-amino-3-(4-methylbenzenesulfinyl)propanoic acid,14,Arthrobacter sp.,0
1264,Titanium dioxide,98,Lactobacillus fermenti,0
241,"2-geranyloxy-4,6-dihydroxybenzophenone",137,Staphylococcus aureus,1
395,6-MO-LF11-227,92,Influenza A virus,0
1129,RK-19,155,Streptococcus pneumoniae serotype 4,0
961,"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)hexanamide",164,Thermus thermophilus,0
615,Curcumin,117,Proteus mirabilis,1
541,Cefamandole,34,Candida albicans,0
421,Adamantane dodecyl beta-maltoside,121,Pseudomonas aeruginosa,1
366,5- hydroxyethyl-3-tetradecanoyltetramic acid,90,Human parainfluenza virus type 2,0
1268,Toremifene,34,Candida albicans,1
60,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-fluorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1
647,Daidzein,67,Escherichia coli,1
774,Gentamicin,67,Escherichia coli,1
73,"(5E)-5-dodecylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1
498,Butein,75,Haemophilus influenzae,1
1116,Pyrogallol,113,Pichia anomala,0
5,"(1R,2S,7R,3E,11E)-2,18-diacetoxycembra-3,8(19),11,15(17)-tetraen-7-ol",77,Hafnia paralvei,0
413,A-3,110,Neisseria gonorrhoeae,0
363,5 alpha-Epoxyalantolactone,34,Candida albicans,1
1362,nitrazepam,112,Pantoea agglomerans,0
1135,Raltegravir,89,Human immunodeficiency virus 1,1
1129,RK-19,90,Human parainfluenza virus type 2,0
1338,cis-4-Hydroxy-L-proline,79,Helicobacter pylori,0
1354,knightine,46,Clostridium pasteurianum,0
1124,Quinupristin,76,Hafnia alvei,0
932,Mezlocillin,101,Listeria monocytogenes serotype 4a,0
319,4-Benzoylphenylalanine,137,Staphylococcus aureus,1
1112,Psoralen,121,Pseudomonas aeruginosa,1
747,Furanone 56,136,Staphlococcus aureus,0
926,Methyl eugenol,69,Eubacterium ramulus,0
1136,Raspberry KAS 434,17,Bacillus amyloliquefaciens,1
665,Diazepam,20,Bacillus licheniformis,0
500,Butoconazole,111,Obesumbacterium proteus,0
1277,"Trimethyl[2-({10,15,20,24,26,29,31,33,34-nonakis[3-(trimethylphosphaniumyl)propoxy]hexacyclo[21.2.2.2,.2,.2,.2]pentatriaconta-1(25),3(35),4,6(34),8,10,13,15,18,20,23,26,28,30,32-pentadecaen-4-yl}oxy)ethyl]phosphanium decabromide",124,Pseudomonas japonica,0
1317,Zinc sulfate,29,Burkholderia cepacia,1
1308,Yohimbine hydrochloride,34,Candida albicans,1
364,"5,7,8,4-Tetramethoxyflavone",171,Vibrio harveyi,1
897,Listerine,6,Actinobacillus actinomycetemcomitans,0
1283,Umbelliferone,58,Enteric bacteria and other eubacteria,0
564,Cefuroxime,45,Clostridium leptum,0
397,6-fluoroindole,174,Yersinia enterocolitica,0
602,Cloxacillin,100,Listeria monocytogenes,1
135,"1-[2-(naphthalen-1-yl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",121,Pseudomonas aeruginosa,1
226,2-amino-3-(3-chlorophenyl)propanoic acid,143,Staphylococcus epidermis,1
94,(R)-2-amino-3-cyclopentylpropanoic acid,6,Actinobacillus actinomycetemcomitans,0
1336,cat-AGE-RK2,137,Staphylococcus aureus,1
263,"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one",129,Salmonella enterica,1
106,(Z)-4-bromo-5-(bromomethylene)-3-hexyl-2(5H)-furanone,149,Streptococcus gordonii,0
873,LF11-215,121,Pseudomonas aeruginosa,1
214,"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole",107,Mycobacterium leprae,0
1201,Sorbitol,8,Actinoplanes missouriensis,1
175,"2,4-Dimethylphenylalanine",170,Vibrio cholerae,0
191,"2-(2-chloro-5-fluorophenyl)-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole",121,Pseudomonas aeruginosa,1
1070,Penicillenol C2,121,Pseudomonas aeruginosa,1
677,Dimethyl Sulfoxide,121,Pseudomonas aeruginosa,1
527,Carnitine hydrochloride,159,Streptococcus sanguis,1
527,Carnitine hydrochloride,14,Arthrobacter sp.,0
1324,alpha-Pinene,67,Escherichia coli,1
461,BMAP-28,38,Candida krusei,1
833,Isoeugenol,67,Escherichia coli,1
748,Furanone C-30,121,Pseudomonas aeruginosa,1
454,Avibactam,1,Achromobacter xylosoxidans,0
932,Mezlocillin,47,Clostridium perfringens,1
551,Ceforanide,158,Streptococcus sanguinis,0
492,Bismuth oxide nanoparticle,34,Candida albicans,1
139,1-{2-[(E)-2-(4-chlorophenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,104,Micrococcus luteus,1
243,2-oxindole,121,Pseudomonas aeruginosa,1
711,Esculin,48,Coagulase- negative staphylococci,0
960,"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)dodecanamide",121,Pseudomonas aeruginosa,1
230,2-amino-3-(propane-1-sulfinyl)propanoic acid,170,Vibrio cholerae,0
668,Dichloromethane,137,Staphylococcus aureus,1
554,Cefotiam,47,Clostridium perfringens,1
1086,Phloridzin,107,Mycobacterium leprae,0
82,"(5Z)-2-(1,1-dichloro-7-methyloctyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1
237,2-bromodecanoic acid,121,Pseudomonas aeruginosa,1
192,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(2,4-dichlorophenyl)-1,3,4-oxadiazole",121,Pseudomonas aeruginosa,1
778,Glycinamide hydrochloride,151,Streptococcus mutans,1
604,Cobalt Ion,86,Human herpesvirus 4,0
604,Cobalt Ion,121,Pseudomonas aeruginosa,1
1300,Virstatin,78,Halomonas pacifica,0
159,"13-{8-methoxy-[1,2,3,4]tetrazolo[1,5-a]quinolin-4-yl}-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",132,Serratia marcescens,0
684,Djenkolic acid,104,Micrococcus luteus,0
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,137,Staphylococcus aureus,1
743,Fosfomycin,67,Escherichia coli,1
852,Kanamycin,58,Enteric bacteria and other eubacteria,1
1092,Pinguisenol,121,Pseudomonas aeruginosa,1
58,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-bromophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",109,Mycobacterium tuberculosis,0
235,2-amino-imidazole/ triazole conjugate,151,Streptococcus mutans,1
367,"5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole-2-thiol",121,Pseudomonas aeruginosa,1
613,Coumarin-3-carboxylic acid,25,Bacteroides uniformis,0
504,C16-33,158,Streptococcus sanguinis,1
42,(2R)-2-amino-3-(2-phenylethanesulfinyl)propanoic acid,7,Actinomyces oris,1
931,Metronidazole,115,Porphyromonas gingivalis,1
118,"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-nitrophenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",142,Staphylococcus epidermidis,0
798,Hinokitiol,41,Candida tropicalis,1
381,5-Hydroxy-4-[(4-methylphenyl)sulfonyl]-3-chloro-2(5H)-furanone,81,Hepatitis B virus F,0
314,"4-(5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole-2-yl)aniline",121,Pseudomonas aeruginosa,1
400,7-bromoindole,31,Burkholderia pseudomallei,0
60,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-fluorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",3,Acinetobacter nosocomialis,0
824,Indole-3-acetic acid,169,Vibrio campbellii,1
415,AFP1,29,Burkholderia cepacia,0
1011,Niacinamide,163,Streptomyces sp.,0
863,L-Phenylalanine,90,Human parainfluenza virus type 2,0
757,Fusidic acid,118,Proteus vulgaris,0
865,L-Phenylalanine-L-Lysine,137,Staphylococcus aureus,1
759,G10KHc,139,Staphylococcus caprae,0
145,1-{6-nitro-4-phenyl-2-[(E)-2-[4-(trifluoromethoxy)phenyl]ethenyl]quinolin-3-yl}ethan-1-one,137,Staphylococcus aureus,1
48,(2R)-2-amino-4-phenylbutanoic acid,1,Achromobacter xylosoxidans,0
1197,Sm6(L3)2C,151,Streptococcus mutans,1
945,Myristic acid,132,Serratia marcescens,1
774,Gentamicin,25,Bacteroides uniformis,0
894,Linalool,34,Candida albicans,1
192,"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(2,4-dichlorophenyl)-1,3,4-oxadiazole",137,Staphylococcus aureus,1
784,HA14-1,34,Candida albicans,1
814,Idoxuridine,84,Human herpesvirus 1,1
1232,Tangeretin,171,Vibrio harveyi,1
270,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,71,Francisella novicida,0
746,Furanone,150,Streptococcus mitis,0
257,"3,5-Diiodotyrosine",137,Staphylococcus aureus,1
840,Isosinensetin,44,Clostridium bacilli,0
117,"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",157,Streptococcus salivarius,0
1128,RI-19,10,Aeromonas sobria,0
125,1-(4-chlorophenyl)-3-p-tolyurea,151,Streptococcus mutans,1
758,G H12,160,Streptococcus sobrinus,1
342,4-bromo-5-(bromomethylene)-3-(1-(2-(2-(2-azidoethoxy)ethoxy)ethoxy)butyl)-2(5H)-furanone,105,Morganella morganii,0
800,Holothuroidin 1,142,Staphylococcus epidermidis,1
1178,Seg6L,121,Pseudomonas aeruginosa,1
206,"2-(4-Methoxyphenyl)-N-((2R,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)acetamide",121,Pseudomonas aeruginosa,1
769,Ganciclovir,51,Cryptococcus neoformans,0
842,Itraconazole,15,Aspergillus fumigatus,0
482,Bergamottin,104,Micrococcus luteus,0
1019,Norbgugaine 12,156,Streptococcus pyogenes,0
1198,Sodium Chloride,33,Campylobacter jejuni,1
1190,Silybin,137,Staphylococcus aureus,1
924,Methanol,137,Staphylococcus aureus,1
633,D-Methionine,143,Staphylococcus epidermis,1
140,1-{2-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,121,Pseudomonas aeruginosa,1
1108,Propyl gallate,40,Candida spp.,0
974,"N-(5-Methyl-1,2-oxazol-3-yl)butanamide",72,Fusarium solani,0
1265,Tobramycin,127,Raoultella ornithinolytica,0
1075,Pentanol,34,Candida albicans,1
375,"5-Bromo-1-(2-chloroacetyl)indoline-2,3-dione",121,Pseudomonas aeruginosa,1
1001,Nafcillin,154,Streptococcus pneumoniae,1
1280,Tyrosol,151,Streptococcus mutans,1
556,Cefpiramide,136,Staphlococcus aureus,0
471,Benzalacetone,80,Hepatitis B virus D,0
1133,RT2,98,Lactobacillus fermenti,0
13,"(2-(4-chlorophenyl)- 4-{[(6-methyl-2-pyridinyl)amino]methylene}-1,3-oxazol- 5(4H)-one)",151,Streptococcus mutans,1
1050,P15-CSP,43,Citrobacter freundii,0
139,1-{2-[(E)-2-(4-chlorophenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,94,Klebsiella planticola,1
1249,Tet-26,121,Pseudomonas aeruginosa,1
270,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,142,Staphylococcus epidermidis,1
499,Butenafine hydrochloride,105,Morganella morganii,0
380,5-Fluorouracil,95,Klebsiella pneumoniae,0
954,N -(5-bromo-2-hydroxy-benzylidene)benzohydrazide,144,Staphylococcus equorum,0
1293,Vanillic acid,63,Enterobacteria phage T4,0
289,3-Nitro-D-tyrosine,137,Staphylococcus aureus,1
1064,Penciclovir,84,Human herpesvirus 1,1
1272,"Triethyl[3-({33-[2-(triethylazaniumyl)ethoxy]-10,15,20,25,27,29,31,34-octakis[3-(triethylazaniumyl)propoxy]hexacyclo[21.2.2.2.2.2.2]pentatriaconta-1(25),3,5,8,10,13,15,18,20,23,26,28,30,32,34-pentadecaen-4-yl}oxy)propyl]azanium decabromide",137,Staphylococcus aureus,1
727,Farnesol,35,Candida dubliniensis,1
1175,Scopoletin,67,Escherichia coli,1
1081,"Phenol,2,4-bis(1,1-dimethylethyl)",132,Serratia marcescens,1
408,7-methylindole,121,Pseudomonas aeruginosa,1
714,Ethambutol,150,Streptococcus mitis,0
585,Cinnamic acid,69,Eubacterium ramulus,0
