drug_id,drug_name,microbe_id,microbe_name,label,strain_count,pubmed_count
24,"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
25,"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
25,"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
25,"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
25,"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
25,"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
26,"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",64,Enterococcus faecalis,1,1,1
26,"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
26,"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",137,Staphylococcus aureus,1,1,1
26,"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",142,Staphylococcus epidermidis,1,1,1
26,"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",151,Streptococcus mutans,1,1,1
27,(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,64,Enterococcus faecalis,1,1,1
27,(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,121,Pseudomonas aeruginosa,1,1,1
27,(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,137,Staphylococcus aureus,1,1,1
27,(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,142,Staphylococcus epidermidis,1,1,1
27,(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,151,Streptococcus mutans,1,1,1
28,(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,64,Enterococcus faecalis,1,1,1
28,(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,121,Pseudomonas aeruginosa,1,1,1
28,(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,137,Staphylococcus aureus,1,1,1
28,(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,142,Staphylococcus epidermidis,1,1,1
28,(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,151,Streptococcus mutans,1,1,1
29,(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,64,Enterococcus faecalis,1,1,1
29,(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,121,Pseudomonas aeruginosa,1,1,1
29,(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,137,Staphylococcus aureus,1,1,1
29,(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,142,Staphylococcus epidermidis,1,1,1
29,(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,151,Streptococcus mutans,1,1,1
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,64,Enterococcus faecalis,1,1,1
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,121,Pseudomonas aeruginosa,1,1,1
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,137,Staphylococcus aureus,1,1,1
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,142,Staphylococcus epidermidis,1,1,1
30,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one,151,Streptococcus mutans,1,1,1
31,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,64,Enterococcus faecalis,1,1,1
31,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,121,Pseudomonas aeruginosa,1,1,1
31,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,137,Staphylococcus aureus,1,1,1
31,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,142,Staphylococcus epidermidis,1,1,1
31,(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,151,Streptococcus mutans,1,1,1
32,(2E)-1-[4-(3-nitropyridin-2-yl)piperazin-1-yl]-3-phenylprop-2-en-1-one,34,Candida albicans,1,1,1
33,(2E)-1-[4-(4-nitrophenyl)piperazin-1-yl]-3-phenylprop-2-en-1-one,34,Candida albicans,1,1,1
34,(2E)-3-(3-hydroxy-4-methoxyphenyl)-1-phenylprop-2-en-1-one,75,Haemophilus influenzae,1,3,1
35,(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one,75,Haemophilus influenzae,1,3,1
36,"(2E)-5-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-formylpent-2-enoic acid",137,Staphylococcus aureus,1,1,1
36,"(2E)-5-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-formylpent-2-enoic acid",151,Streptococcus mutans,1,1,1
37,"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",64,Enterococcus faecalis,1,1,1
37,"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",121,Pseudomonas aeruginosa,1,1,1
37,"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",137,Staphylococcus aureus,1,1,1
37,"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",142,Staphylococcus epidermidis,1,1,1
37,"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide",151,Streptococcus mutans,1,1,1
38,"(2E)-N-(6-nitro-1,3-benzothiazol-2-yl)-3-phenylprop-2-enamide",34,Candida albicans,1,1,1
39,(2E)-N-[3-(1H-imidazol-1-yl)propyl]-3-phenylprop-2-enamide,34,Candida albicans,1,1,1
40,(2E)-N-[3-(1H-indol-3-yl)propyl]-3-phenylprop-2-enamide,34,Candida albicans,1,1,1
41,"(2R)-2-amino-3-(2,3-dihydro-1H-inden-2-yl)propanoic acid",137,Staphylococcus aureus,1,2,1
41,"(2R)-2-amino-3-(2,3-dihydro-1H-inden-2-yl)propanoic acid",143,Staphylococcus epidermis,1,1,1
42,(2R)-2-amino-3-(2-phenylethanesulfinyl)propanoic acid,7,Actinomyces oris,1,1,1
42,(2R)-2-amino-3-(2-phenylethanesulfinyl)propanoic acid,151,Streptococcus mutans,1,1,1
43,(2R)-2-amino-3-(benzenesulfinyl)propanoic acid,7,Actinomyces oris,1,1,1
43,(2R)-2-amino-3-(benzenesulfinyl)propanoic acid,151,Streptococcus mutans,1,1,1
43,(2R)-2-amino-3-(benzenesulfinyl)propanoic acid,159,Streptococcus sanguis,1,1,1
44,(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid,7,Actinomyces oris,1,1,1
44,(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid,151,Streptococcus mutans,1,1,1
44,(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid,159,Streptococcus sanguis,1,1,1
45,(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid,7,Actinomyces oris,1,1,1
45,(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid,151,Streptococcus mutans,1,1,1
45,(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid,159,Streptococcus sanguis,1,1,1
46,(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid,7,Actinomyces oris,1,1,1
46,(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid,151,Streptococcus mutans,1,1,1
46,(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid,159,Streptococcus sanguis,1,1,1
47,(2R)-2-amino-3-phenylmethanesulfinylpropanoic acid,7,Actinomyces oris,1,1,1
48,(2R)-2-amino-4-phenylbutanoic acid,143,Staphylococcus epidermis,1,1,1
49,(2R)-2-amino-5-(1-nitrocarbamimidamido)pentanoic acid,137,Staphylococcus aureus,1,1,1
49,(2R)-2-amino-5-(1-nitrocarbamimidamido)pentanoic acid,143,Staphylococcus epidermis,1,1,1
50,(2R)-2-amino-6-acetamidohexanoic acid,137,Staphylococcus aureus,1,1,1
50,(2R)-2-amino-6-acetamidohexanoic acid,143,Staphylococcus epidermis,1,1,1
51,"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid",137,Staphylococcus aureus,1,2,1
51,"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid",143,Staphylococcus epidermis,1,1,1
52,"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",137,Staphylococcus aureus,1,1,1
52,"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",143,Staphylococcus epidermis,1,1,1
53,(2S)-2-amino-3-(4-tert-butylphenyl)propanoic acid,143,Staphylococcus epidermis,1,1,1
54,(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid,137,Staphylococcus aureus,1,1,1
54,(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid,143,Staphylococcus epidermis,1,1,1
55,(2S)-2-amino-4-bromopent-4-enoic acid,137,Staphylococcus aureus,1,2,1
55,(2S)-2-amino-4-bromopent-4-enoic acid,143,Staphylococcus epidermis,1,1,1
56,"(2S,3R,4S,5S,6R)-3-(2-(1H-Indol-3-yl)acetamido)-6-(acetoxymethyl)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
57,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-(trifluoromethyl)phenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyltriacetate",121,Pseudomonas aeruginosa,1,1,1
58,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-bromophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
59,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-chlorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
60,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-fluorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
61,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-methoxyphenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
62,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(3-oxohexanamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
63,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(3-oxooctanamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
64,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-butyramidotetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
65,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-decanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
66,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-dodecanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
67,"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-octanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",121,Pseudomonas aeruginosa,1,1,1
68,(2Z)-N-hexyl-2-hydroxy-3-[4-(trifluoromethyl)phenyl]prop-2-enamide,137,Staphylococcus aureus,1,1,1
69,(3R)-4-(4-acetylphenyl)-3-aminobutan-2-one,137,Staphylococcus aureus,1,1,1
69,(3R)-4-(4-acetylphenyl)-3-aminobutan-2-one,143,Staphylococcus epidermis,1,1,1
70,"(3R)-7-hydroxy-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid",143,Staphylococcus epidermis,1,1,1
71,(5-nitrofuran-2-yl)methyl (2E)-3-phenylprop-2-enoate,34,Candida albicans,1,1,1
72,"(5E)-5-decylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1,1,1
73,"(5E)-5-dodecylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1,1,1
74,"(5E)-5-hexylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1,1,1
75,"(5E)-5-octylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1,1,1
76,"(5E)-5-undecylidene-1,3-thiazolidine-2,4-dione",34,Candida albicans,1,1,1
77,"(5S)-1,7-bis(4-hydroxyphenyl)-5-O-_-D- apiofuranosyl(1 _ 6)-_-D-glucopyranosyloxyheptan-3-one",121,Pseudomonas aeruginosa,1,1,1
78,"(5Z)-2-(1,1-dichloro-2-phenylethyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,4,1
79,"(5Z)-2-(1,1-dichloro-3,3-dimethylbutyl)-5-(phenylmethylidene)-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
80,"(5Z)-2-(1,1-dichloro-3,3-dimethylbutyl)-5-[(3-methoxyphenyl)methylidene]-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
81,"(5Z)-2-(1,1-dichloro-3,3-dimethylbutyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,4,1
82,"(5Z)-2-(1,1-dichloro-7-methyloctyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
83,"(5Z)-2-(1,1-dichlorobut-3-yn-1-yl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
84,"(5Z)-2-(1,1-dichloropropyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
85,"(5Z)-2-(2,2-dimethylpropyl)-5-{[3-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
86,"(5Z)-2-tert-butyl-5-{[3-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",137,Staphylococcus aureus,1,1,1
87,(5Z)-4-Bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,67,Escherichia coli,1,1,1
88,"(E)-1-[6-[(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethyl-2H-1-benzopyran-8-yl]-3-phenyl-2-propen-1-one",2,Acinetobacter baumannii,1,1,1
88,"(E)-1-[6-[(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethyl-2H-1-benzopyran-8-yl]-3-phenyl-2-propen-1-one",121,Pseudomonas aeruginosa,1,1,1
89,(E)-3-Decen-2-one,170,Vibrio cholerae,1,1,1
89,(E)-3-Decen-2-one,171,Vibrio harveyi,1,1,1
90,(E)-Chalcone,75,Haemophilus influenzae,1,3,1
91,"(R)-2,3-Diaminopropanoic acid",137,Staphylococcus aureus,1,1,1
91,"(R)-2,3-Diaminopropanoic acid",143,Staphylococcus epidermis,1,1,1
92,(R)-2-Amino-3-biphenyl-3-yl-propionic acid,143,Staphylococcus epidermis,1,1,1
93,(R)-2-amino-3-cyclohexylpropanoic acid,137,Staphylococcus aureus,1,2,1
93,(R)-2-amino-3-cyclohexylpropanoic acid,143,Staphylococcus epidermis,1,1,1
94,(R)-2-amino-3-cyclopentylpropanoic acid,137,Staphylococcus aureus,1,2,1
94,(R)-2-amino-3-cyclopentylpropanoic acid,143,Staphylococcus epidermis,1,1,1
95,(RW)2-NH2,67,Escherichia coli,1,1,1
96,(RW)3-NH2,67,Escherichia coli,1,1,1
