Drug,Microbe,Label,Drug_ID,Microbe_ID
2-(Aminomethyl)-L-phenylalanine,Staphylococcus epidermis,1,211,147
Sulfamerazine,Escherichia coli,1,1228,69
Clary sage,Escherichia coli,1,596,69
Myricetin,Plasmodium falciparum,0,950,118
4-chloroquinoline,Neisseria gonorrhoeae,0,352,114
IDR-1018,Bacteroides vulgatus,0,814,26
Emtricitabine,Human immunodeficiency virus 1,1,701,92
Cefixime,Haemophilus influenzae,1,547,78
Besifloxacin,Streptococcus pneumoniae serotype 4,1,483,159
7-chloroindole,Pseudomonas aeruginosa,1,401,125
"1,3-bis[3-chloro-5-(1,3-dichloropropane-2-yloxy)-2(5H)-furanone-4-ylsulfonyl]propane",Bacillus subtilis,1,115,21
Ketoconazole,Influenza A virus ,0,860,95
O-LF11-215,Streptococcus salivarius,0,1035,161
Na-Propionate,Shewanella oneidensis,0,1005,137
Aniline,Desulfovibrio africanus,0,440,54
7-nitroindole,Pseudomonas aeruginosa,1,409,125
Moxifloxacin,Hepatitis C virus,0,945,86
D-Asparagine,Staphylococcus aureus,1,630,141
Histatin 5,Candida glabrata,1,805,36
3-(4-fluorophenyl)-5-(3-ethoxy- 4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Enterococcus faecium,1,273,67
N-Acetylcysteine,Coagulase- negative staphylococci,1,984,49
Fusidic acid,Staphylococcus aureus,1,762,141
Moxifloxacin,Haemophilus influenzae,1,945,78
Hydrogen peroxide,Candida spp.,0,811,40
Methyl indole-7-carboxylate,Pseudomonas putida,0,934,130
D-Alanine,Human immunodeficiency virus,0,629,91
Chloramphenicol,Klebsiella variicola,0,574,100
D-2-aminoadipic acid,Influenza B virus,0,628,96
Rifampicin,Escherichia coli,1,1154,69
Ofloxacin,Haemophilus influenzae,1,1044,78
"1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid",Hepatitis C Virus ,0,114,85
Carolacton,Vibrio anguillarum,0,528,173
Diterpene phytol,Enterobacteria phage T4,0,688,65
KABT-AMP,Candida krusei,0,852,38
Isoniazid ,Mycobacterium tuberculosis,1,842,113
Cyclacillin,Shewanella oneidensis,0,621,137
Josamycin,Staphylococcus epidermis,0,850,147
"3-{2-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]ethyl}-5-methylidene-N-phenyl-2,5-dihydrofuran-2-amine",Streptococcus mutans,1,306,155
"13-(2-chloro-6-methoxyquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,4aH,6H,11H,13H,13aH-indazolo[1,2-b]phthalazine-1,6,11-trione",Actinomyces oris,0,151,7
Rosoxacin,Escherichia coli,1,1160,69
Povidone Iodine,Staphylococcus aureus,1,1112,141
3-oxo-C8-HSL,Staphylococcus aureus,0,303,141
"Butane-1,4-diamine",Human herpesvirus 1 ,0,496,87
Ampicillin,Streptococcus pneumoniae,1,437,158
Clozapine,Bacillus amyloliquefaciens,0,607,17
Trovafloxacin,Haemophilus influenzae,1,1294,78
nimesulide,Trichophyton mentagrophytes,1,1376,170
Daclatasvir,Varicella-zoster virus,0,651,172
SMAP-29,Candida guiliermondi,0,1176,37
"Ethane-1,2-diamine",Candida albicans,0,720,34
TZD-C8,Enterobacter cancerogenus,0,1241,62
Chrysophsin-1,Streptococcus mutans,1,582,155
Benzophenonyl decyl beta-maltoside,Salmonella Typhi,0,478,132
Anthranilate,Vibrio vulnificus,1,442,178
beta-sitosterol glucoside,Klebsiella variicola,0,1349,100
2-amino-3-(3-chlorophenyl)propanoic acid,Staphylococcus aureus,1,226,141
L-Aspartate,Enterococcus faecium,0,866,67
BMAP-28,Hepatitis B virus F,0,461,84
S-ethyl-L-cysteine,Porphyromonas gingivalis,0,1170,119
Limonene,Thermus thermophilus ,0,899,169
Terpinene-4-ol,Pichia anomala,1,1258,117
Gatifloxacin,Streptococcus pneumoniae serotype 4,1,776,159
2-methoxy-cinnamaldehyde,Acinetobacter oleiovorans,0,242,4
Fraxin,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),0,750,71
3-(4-fluorophenyl)-5-(3-ethoxy- 4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus aureus,1,273,141
Enoxacin,Streptomyces gordonii,0,704,165
4-Methoxycarbonylphenylboronic acid,Vibrio campbellii,1,335,174
Tyrosol,Citrobacter freundii,0,1295,43
L-4-Carbamoylphenylalanine,Lysinibacillus sphaericus,0,864,106
Allicin,Pseudomonas aeruginosa,1,426,125
Enoxacin,Haemophilus influenzae,1,704,78
3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus aureus,1,276,141
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-styryl-1,3,4-oxadiazole",Aspergillus niger,0,199,16
(furan-2-yl)methyl (2E)-3-phenylprop-2-enoate,Citrobacter freundii,0,112,43
Zidovudine,Human immunodeficiency virus 1,1,1327,92
KD-13,Burkholderia pseudomallei,1,853,31
G2,Streptococcus mutans,1,765,155
Pefloxacin,Haemophilus influenzae,1,1070,78
Vitamin C,Bacteroides fragilis,0,1316,24
Cinoxacin,Haemophilus influenzae,1,589,78
Cefditoren,Chromobacterium violaceum,0,544,42
Quercetin,Escherichia coli,1,1127,69
DispersinB-KSL-W wound gel,Vibrio cholerae,0,687,175
Isoniazid ,Mycobacterium tuberculosis,1,842,113
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",Aeromonas hydrophila,0,22,9
Streptomycin,Escherichia coli,1,1216,69
Cycloserine ,Mycobacterium avium,1,624,110
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-dodecanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",Achromobacter xylosoxidans,0,66,1
2-Carbamoylphenylalanine,Enterococcus faecalis,0,215,66
4-methanesulfonylaniline,Stenotrophomonas maltophilia,0,356,151
Saquinavir,Human immunodeficiency virus 1,1,1183,92
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus aureus,1,272,141
Zanamivir,Influenza B virus,1,1325,96
4-Amino-D-phenylalanine,Staphylococcus aureus,1,318,141
"3,4-Dichloro-cinnamaldehyde",Bacteroides,0,253,22
TZD-C8,Acinetobacter oleiovorans,0,1241,4
Spermine,Streptococcus pneumoniae serotype 4,0,1211,159
N-decanoyl-L- homoserine benzyl ester,Citrobacter freundii,0,990,43
Glucose,Staphylococcus epidermis,0,783,147
Merimepodib,Streptococcus pyogenes,1,926,160
Amphotericin B,Candida albicans,1,436,34
"1-[2-(2-nitrophenyl)-5-phenyl-1,3,4-oxadiazol-3(2H)-yl]ethanone",Enterococcus faecalis,1,132,66
(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate,Kocuria rhizophila,0,11,101
Cefalotin,Streptococcus pneumoniae,1,540,158
Sorbitol,Influenza A virus ,0,1210,95
L- K6L9,Pseudomonas aeruginosa,1,862,125
Acetohydroxamic Acid,Enterobacter aerogenes,1,418,61
Tetracycline,Enteric bacteria and other eubacteria,1,1263,59
Furanone-2,Serratia marcescens,0,755,136
N-Acetylcysteine,Streptococcus pyogenes,1,984,160
Chloramphenicol,Campylobacter jejuni,1,574,33
7-methylindole,Citrobacter freundii,0,408,43
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(pyridin-4-yl)-1,3,4-oxadiazole",Staphylococcus aureus,1,197,141
Cefpiramide,Pseudomonas aeruginosa,1,557,125
Glycomonoterpenes (G-citron),Enteric bacteria and other eubacteria ,0,786,60
"Phenol,2,4-bis(1,1-dimethylethyl)",Serratia marcescens,1,1090,136
Cefaclor,Clostridium perfringens,0,537,47
Tipranavir ,Staphylococcus equorum,0,1277,148
Undecanoic acid,Burkholderia cenocepacia,0,1299,28
Silver dihydrogen citrate,Staphylococcus aureus,1,1193,141
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one",Salmonella enterica,1,263,133
meta-toluidine,Pseudomonas aeruginosa,1,1372,125
"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid",Staphylococcus aureus,1,51,141
Tigecycline,Staphylococcus epidermis,0,1272,147
trans-Stillbene,Streptococcus gordonii,0,1393,153
Cephalexin,Enterococcus faecium,0,566,67
1-mesityl-3(4-nitrophenyl)urea,Serratia marcescens,0,136,136
Paromomycin ,Thermus thermophilus ,1,1068,169
Methyl indole-7-carboxylate,Candida albicans,0,934,34
2-amino-3-(prop-2-ene-1-sulfinyl)propanoic acid,Chromobacterium violaceum,0,229,42
Cefditoren,Clostridium perfringens ,1,544,48
Cephalexin,Streptococcus pneumoniae,1,566,158
Ciprofloxacin,Haemophilus influenzae,1,590,78
Ampicillin,Streptococcus pneumoniae,1,437,158
Ephedrine,Cronobacter sakazakii,0,705,51
Dapsone,Mycobacterium leprae,1,656,111
Ofloxacin,Haemophilus influenzae,1,1044,78
"13-{7-methoxy-[1,2,3,4]tetrazolo[1,5-a]quinolin-4-yl}-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Candida albicans,1,158,34
Amikacin,Trueperella pyogenes,0,430,171
trans-2-Pentenal,Streptococcus epidermidis,0,1390,152
Latamoxef,Raoultella ornithinolytica,0,894,131
Piperacillin,Pseudomonas aeruginosa,1,1102,125
13-methyltetradecanoic acid,Enterobacter cloacae,0,157,63
1-{2-[(E)-2-(4-chlorophenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,Escherichia coli ,0,139,70
Phenyl-arginine-b-naphthylamide,Escherichia coli,1,1092,69
D-2-aminoadipic acid,Pseudomonas japonica,0,628,128
"3,4-Dichloro-cinnamaldehyde",Vibrio harveyi,1,253,176
Sorbitol,Actinoplanes missouriensis,1,1210,8
2-amino-3-(2-nitrophenyl)propanoic acid,Staphylococcus epidermis,1,225,147
Pefloxacin ,Haemophilus influenzae,1,1071,78
Sorbitol,Escherichia coli,1,1210,69
Fluconazole,Candida albicans,1,743,34
5-Fluorouracil,Pseudomonas aeruginosa,1,380,125
ZnO nanoparticles,Pseudomonas aeruginosa,1,1333,125
Rifapentine ,Mycobacterium tuberculosis,1,1155,113
Fusidic Acid,Salmonella Typhi,1,761,132
2-amino-3-(3-chlorophenyl)propanoic acid,Aquifex aeolicus,0,226,13
KSL,Streptococcus mutans,1,854,155
Framycetin,Streptococcus sobrinus,0,749,164
Cefotaxime,Bacillus subtilis,1,553,21
Bacalin hydrate,Burkholderia multivorans,1,464,30
Furanone C-30,Acinetobacter nosocomialis,0,753,3
3-(1-Naphthyl)-D-Alanine,Staphylococcus epidermis,1,261,147
knightine,Human parainfluenza virus type 2,0,1369,93
Sinefungin,Streptococcus pneumoniae,1,1202,158
para-Benzoquinone,Burkholderia multivorans,1,1381,30
S-(4-tolyl)-L-cysteine,Streptococcus mutans,1,1167,155
2-(Aminomethyl)-L-phenylalanine,Staphylococcus aureus,1,211,141
4-bromo-5-(bromomethylene)-3-butyl-2(5H)- furanone,Staphylococcus aureus,1,345,141
Nitrofural,Escherichia coli,1,1022,69
Pyrimethamine,Neisseria gonorrhoeae,0,1123,114
L-4-Carbamoylphenylalanine,Fusarium solani,0,864,75
"Dihydroxybenzoic Acid (3,4-DHBA)",Pseudomonas aeruginosa,0,681,125
Asperdiol acetate,Vibrio harveyi,1,447,176
Cefacetrile,Escherichia coli,1,536,69
Aciclovir,Varicella-zoster virus,1,420,172
Ethyl gallate,Bacillus anthracis,0,722,18
Carolacton,Streptococcus mutans,1,528,155
Ciprofloxacin,Thermus thermophilus,0,590,168
Zanamivir,Influenza B virus,1,1325,96
Sulfadoxine,Lysinibacillus sphaericus,0,1226,106
DispersinB-KSL-W wound gel,Staphylococcus aureus,1,687,141
Eugenol,Staphylococcus aureus,1,726,141
Nitrofurantoin,Aeromonas hydrophila,0,1023,9
2-(2-(2-Azidoacetamido)phenyl)-2-oxo-N-(prop-2-yn-1-yl)acetamide,Fusarium solani,0,185,75
Carminic acid,Mycobacterium avium,0,526,110
Tobramycin,Pseudomonas aeruginosa,1,1279,125
2-(2-(2-Azidoacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,Actinoplanes missouriensis,0,182,8
Neomycin,Enteric bacteria and other eubacteria,1,1014,59
Dezocine,Haemophilus influenzae,1,666,78
"2,4-Difluorophenylalanine",Staphylococcus aureus,1,174,141
Stavudine,Human immunodeficiency virus 1,1,1213,92
"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)butyramide",Human immunodeficiency virus 1,0,966,92
cov-GL13K,Bacteroides vulgatus,0,1356,26
"N-(5-Methyl-1,2-oxazol-3-yl)butanamide",Human parainfluenza virus type 2,0,981,93
S-carboxylmethyl-L-cysteine,Salmonella enterica,0,1169,133
N -[(3-chloro-isoquinolin-4-yl)methylene] benzohydrazide,Bacillus amyloliquefaciens,0,963,17
"1-(2-Chloroacetyl)indoline-2,3-dione",Escherichia coli,1,121,69
Peppermint oil,Bacteroides vulgatus,0,1085,26
Naringin,Escherichia coli,1,1010,69
3-(2-Furyl)-D-alanine,Staphylococcus aureus,1,262,141
Indole,Burkholderia multivorans,1,827,30
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one,Hepatitis B virus D,0,28,83
4-bromo-5-(bromomethylene)-3-(1-( 2-propynyloxy)butyl)-2(5H)-furanone,Salmonella enterica,0,341,133
Pyrazinamide,Mycobacterium tuberculosis,1,1122,113
"(5Z)-2-(1,1-dichloro-3,3-dimethylbutyl)-5-[(3-methoxyphenyl)methylidene]-1,3-oxazolidin-4-one",Francisella novicida,0,80,74
Zalcitabine,Human immunodeficiency virus 1,1,1324,92
Vancomycin,Staphylococcus aureus,1,1307,141
"7-fluoroindoline-2,3-dione",Pseudomonas aeruginosa,1,404,125
Epigallocatechin Gallate,Staphylococcus epidermidis,1,710,146
5-(dibromomethylene)-3-butyl-2(5H)-furanone,Salmonella enterica,1,371,133
BMAP-28,Pseudomonas aeruginosa,1,461,125
G2,Streptococcus mutans,1,765,155
Platyphylloside,Salmonella Typhi,0,1106,132
"13-(2-chloroquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Pseudomonas aeruginosa,1,156,125
5-Fluorouracil,Pseudomonas aeruginosa,1,380,125
Myxinidin1,Micrococcus luteus,0,956,108
2-Cyano-D-phenylalanine,Bacteroides vulgatus,0,217,26
Oseltamivir,Influenza A virus ,1,1051,95
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",Streptococcus mutans,1,24,155
Nisin,Escherichia coli,0,1020,69
Taurine,Actinomyces oris,1,1246,7
4-nitro-cinnamaldehyde,Vibrio anguillarum,0,358,173
C16G2,Aspergillus fumigatus,0,505,15
Amikacin disulfate salt,Escherichia coli,1,431,69
Menthol,Pseudomonas aeruginosa,1,925,125
Enoxacin,Haemophilus influenzae,1,704,78
Pseudomonas Quinolone Signal,Influenza B virus ,0,1120,97
Penicillin G,Neisseria gonorrhoeae,0,1081,114
N -(4-trifluoromethyl-benzylidene)benzohydrazide,Streptococcus mutans,1,960,155
Ciprofloxacin,Bacillus subtilis,1,590,21
Gallium cation,Lactobacillus fermenti,0,771,102
Ofloxacin,Haemophilus influenzae,1,1044,78
Silver nitrate,Staphylococcus epidermidis,1,1196,146
1-(4-methoxyphenyl)-3-p-tolyurea,Bacillus licheniformis,0,127,20
Penicillenol A1,Vibrio vulnificus,0,1074,178
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(2,4-dichlorophenyl)-1,3,4-oxadiazole",Coagulase- negative staphylococci,0,192,49
Trimethyl(3-{4-[3-(trimethylphosphaniumyl)propoxy]phenoxy}propyl)phosphanium dibromide,Acinetobacter oleiovorans,0,1291,4
Didanosine,Dengue Virus Type 2,0,678,53
3-Chloro-5-[(2-chloroethoxy)]-4-[(4-methylphenylsulfanyl)]-2(5H)-furanone,Streptococcus sobrinus,0,280,164
Cefotaxime,Staphlococcus aureus,0,553,140
"2,4-Dinitro-D-phenylalanine",Staphylococcus epidermis,1,176,147
Moxifloxacin,Mycobacterium avium,1,945,110
Arbekacin,Pseudoalteromonas sp.,0,445,124
Heptadecanoic acid,Acinetobacter nosocomialis,0,796,3
cat-AGE-RK1,Serratia liquefaciens,0,1350,135
"1-[2-(naphthalen-1-yl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",Staphylococcus aureus,1,135,141
Cinnamaldehyde,Pseudoalteromonas sp.,0,585,124
Delavirdine,Lysinibacillus sphaericus,0,661,106
"2,2 -Dipyridyl",Amycolatopsis orientalis,0,168,12
Linezolid,Human herpesvirus 5,0,901,90
1-{2-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,Staphylococcus aureus,1,140,141
Lipoic acid,Klebsiella planticola,0,902,98
4-bromo-5-(dibromomethylene)-3-(1-acetoxyoethyl)-2(5H)-furanone,Amycolatopsis orientalis,0,346,12
D-tert-Leucine,Influenza B virus ,0,645,97
Aceroside VIII,Pseudomonas japonica,0,417,128
Benzalacetone,Vibrio parahaemolyticus,0,471,177
Cycloserine ,Mycobacterium avium,1,624,110
Ibuprofen,Hepatitis C Virus ,0,819,85
Clozapine,Helicobacter pylori ,0,607,82
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(4-methoxyphenyl)-1,3,4-oxadiazole",Candida guiliermondi,0,193,37
Miconazole,Staphylococcus aureus,0,940,141
N-Decanoyl cyclopentylamide,Pseudomonas aeruginosa,1,985,125
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,Varicella-zoster virus,0,31,172
Catechin,Burkholderia multivorans,1,531,30
Cidofovir,Human herpesvirus 5,1,584,90
(2R)-2-amino-6-acetamidohexanoic acid,Escherichia coli,0,50,69
Gemifloxacin,Haemophilus influenzae,1,777,78
Cycloserine,Escherichia coli,1,623,69
Furanone-3,Candida krusei,0,756,38
CGP-37157,Streptomyces sp. ,0,510,167
Cefalotin,Escherichia coli,1,540,69
p-Coumaric acid,Escherichia coli,1,1379,69
Myxinidin2,Listeria monocytogenes,1,957,104
Sulfamoxole,Candida glabrata,0,1232,36
Cefoxitin,Streptococcus pneumoniae,1,556,158
Sodium ascorbate,Clostridium pasteurianum,0,1208,46
Oxytetracycline,Escherichia coli,1,1056,69
5-(dibromomethylene)-3-(1-bromoethyl)-2(5H)-furanone,Hepatitis B virus D,0,370,83
Tyrosol,Listeria monocytogenes,0,1295,104
Ethylenediametetraacetic acid,Streptococcus salivarius,0,724,161
"1-[2-(3,5-dichlorophenyl)-5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-3(2H)-yl]ethanone",Streptococcus mutans,1,133,155
p-nitrophenyl glycerol,Aeromonas hydrophila,0,1380,9
4-bromo-5-(dibromomethylene)-3-(1-bromoethyl)-2(5H)-furanone,Influenza B virus,0,347,96
Vanillin,Burkholderia thailandensis,0,1309,32
Thiazolidinedione-8,Bacillus subtilis,0,1266,21
Desipramine,Streptococcus epidermidis,0,665,152
Olmesartran,Streptococcus pneumoniae,0,1048,158
Gatifloxacin,Streptococcus pneumoniae serotype 4,1,776,159
Doxycycline,Pseudomonas aeruginosa,1,693,125
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",Pseudomonas aeruginosa,1,16,125
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(methylthio)-1,3,4-oxadiazole",Listeria monocytogenes,0,195,104
N-Acetylcysteine,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),0,984,71
VS2,Serratia marcescens,0,1305,136
Coprinuslactone,Streptococcus sanguis,0,615,163
Cinoxacin,Haemophilus influenzae,1,589,78
2-(2-(2-Azidoacetamido)-5-fluorophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,Pseudomonas aeruginosa,1,182,125
Cloxacillin,Escherichia coli,1,606,69
Azithromycin,Mycobacterium avium,1,456,110
5- hydroxyethyl-3-tetradecanoyltetramic acid,Bacteroides,0,366,22
Umbelliferone,Human immunodeficiency virus,0,1298,91
"(5Z)-2-(1,1-dichloro-7-methyloctyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",Mycobacterium tuberculosis,0,82,113
Sorbitol,Streptomyces rubiginosus,1,1210,166
Curcumin,Escherichia coli,1,619,69
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(methylthio)-1,3,4-oxadiazole",Staphylococcus aureus,1,195,141
nitrazepam,Candida parapsilosis,0,1377,39
Gentamicin,Bacillus subtilis,1,779,21
6-MO-LF11-215,Bacteroides fragilis,0,394,24
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one",Pseudomonas aeruginosa,1,263,125
L-Aspartate,Staphylococcus haemolyticus,1,866,149
Catechin,Burkholderia cenocepacia,1,531,28
Coladonin,Escherichia coli,1,609,69
Oxiconazole nitrate,Proteus mirabilis,0,1054,121
Cefoperazone,Escherichia coli,1,551,69
Gatifloxacin,Streptococcus pneumoniae serotype 4,1,776,159
Butyl gallate,Cryptococcus neoformans,0,502,52
Darunavir,Human immunodeficiency virus,1,658,91
Carbonyl cyanide m-chlorophenylhydrazone,Trueperella pyogenes,0,524,171
1-mesityl-3(4-nitrophenyl)urea,Bacteroides vulgatus,0,136,26
N-[(3-chloro-isoquinolin-4-yl)methylene]benzohydrazide,Streptococcus sanguinis,0,988,162
Oseltamivir,Influenza A virus ,1,1051,95
Polymyxin B,Streptococcus salivarius,0,1109,161
Ginger oil,Kocuria rhizophila,0,781,101
3-chloro-5-hydroxy-4-[(4-methylphenylsulfanyl)]-2(5H)-furanone,Bacillus subtilis,1,293,21
3-(Trifluoromethyl)phenylalanine,Pseudomonas putida,0,275,130
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one,Staphylococcus epidermidis,1,29,146
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus aureus,1,270,141
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Enterococcus faecium,1,270,67
S6L3-33,Clostridium leptum,0,1175,45
D-galactose cluster,Thermus thermophilus,0,643,168
Cerulenin ,Escherichia coli,1,569,69
Posaconazole,Candida albicans,1,1111,34
Moxifloxacin,Haemophilus influenzae,1,945,78
(R)-2-Amino-3-biphenyl-3-yl-propionic acid,Pseudomonas libaniensis,0,92,129
2-amino-5-methoxy-5-oxopentanoic acid,Staphylococcus epidermis,1,232,147
Taurine,Streptococcus mutans,1,1246,155
Tobramycin,Burkholderia multivorans,1,1279,30
7-hydroxyindole,Staphylococcus cohnii,0,406,145
Nystatin,Pseudomonas japonica,0,1033,128
Epicatechin-3-gallate,Burkholderia pseudomallei,0,708,31
Epigallocatechin Gallate,Staphylococcus epidermidis,1,710,146
Aztreonam,Serratia marcescens,0,458,136
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Gardnerella vaginalis,0,117,76
Baicalein,Pseudomonas aeruginosa,1,468,125
"1-(2-Chloroacetyl)indoline-2,3-dione",Human respiratory syncytial virus B,0,121,94
