Drug,Microbe,Label,Drug_ID,Microbe_ID
"2-(4-Methoxyphenyl)-N-((2R,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)acetamide",Pseudomonas aeruginosa,1,206,125
"3,4-Dichloro-cinnamaldehyde",Burkholderia multivorans,0,253,30
"2-(4-Fluorophenyl)-N-((2R,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)acetamide",Yersinia enterocolitica,0,205,179
RNAIII-inhibiting Peptide,Edwardsiella tarda,0,1141,56
Sm6(L3)2C,Pichia anomala,0,1206,117
Quinine,Staphylococcus chromogenes,0,1130,144
Cefoperazone,Escherichia coli,1,551,69
epsilon-viniferin,Actinomyces oris,0,1365,7
Farnesol,Staphylococcus epidermidis,1,732,146
"Triethyl[3-({33-[2-(triethylazaniumyl)ethoxy]-10,15,20,25,27,29,31,34-octakis[3-(triethylazaniumyl)propoxy]hexacyclo[21.2.2.2.2.2.2]pentatriaconta-1(25),3,5,8,10,13,15,18,20,23,26,28,30,32,34-pentadecaen-4-yl}oxy)propyl]azanium decabromide",Enterococcus faecalis,1,1287,66
Di-MB-LF11-322,Pseudomonas aeruginosa,1,668,125
Dezocine,Haemophilus influenzae,1,666,78
"13-(2-chloro-8a-methyl-4a,8a-dihydroquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Hafnia alvei,0,155,79
Sulfisoxazole,Escherichia coli,1,1236,69
17-Deacetyl norgestimate,Kocuria rhizophila,0,166,101
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2yl)-5-(4-nitrophenyl)-1,3,4-oxadiazole",Staphylococcus aureus,1,200,141
Ciprofloxacin,Pseudomonas aeruginosa,1,590,125
Rilpivirine,Thermus thermophilus ,0,1156,169
Cefoxitin,Escherichia coli,1,556,69
den-SB056,Staphylococcus epidermidis,1,1361,146
Ciprofloxacin,Haemophilus influenzae,1,590,78
Zotepine,Bacillus licheniformis,0,1334,20
IG-13,Hepatitis C Virus ,0,815,85
"13-(2-chloro-6-methoxyquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,4aH,6H,11H,13H,13aH-indazolo[1,2-b]phthalazine-1,6,11-trione",Pseudomonas chlororaphis,0,151,126
para-toluidine,Klebsiella variicola,0,1385,100
Zanamivir,Influenza B virus,1,1325,96
L-tryptophan,Vibrio vulnificus,1,878,178
4-bromoaniline,Coagulase- negative staphylococci,0,349,49
"5,7,8,4-Tetramethoxyflavone",Edwardsiella tarda,0,364,56
VSL2,Vibrio cholerae,0,1306,175
Bis[(4-methylphenyl)methyl] disulfide,Pseudomonas aeruginosa,1,491,125
Norspermidine,Pseudomonas aeruginosa,1,1031,125
D/L-Aspartate,Staphylococcus aureus,1,646,141
2-amino-4-chlorobenzoic acid,Staphylococcus capitis,0,231,142
SQ109,Arthrobacter sp. ,0,1178,14
Tyrphostin AG1478,Staphylococcus chromogenes,0,1297,144
Sodium Chloride,Pseudomonas fluorescens,1,1207,127
"2,4,5-Trifluorophenylalanine",Streptococcus sanguinis,0,172,162
Pefloxacin ,Shigella flexneri,0,1071,138
Nystatin,Staphylococcus equorum,0,1033,148
Cefamandole,Lysinibacillus sphaericus,0,541,106
"2,2 -Dipyridyl",Pseudomonas aeruginosa,1,168,125
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Staphylococcus saprophyticus,0,117,150
"3,5-Dimethyl benzyl dodecyl beta-maltoside",Pseudomonas aeruginosa,1,258,125
Clarithromycin,Streptomyces gordonii,0,595,165
"2-(4-methoxyphenyl)-N-(3-{[2-(4-methoxyphenyl)ethyl]imino}-1,4-dihydro-2-quinox alinylidene)ethanamine",Streptococcus gordonii,1,207,153
Erythromycin,Escherichia coli ,1,713,70
M8G2,Acinetobacter baumannii,0,913,2
(R)-2-Amino-3-biphenyl-3-yl-propionic acid,Pseudomonas putida,0,92,130
14-alpha-lipoyl andrographolide,Clostridium pasteurianum,0,162,46
Rimantadine,Influenza A virus ,1,1157,95
Oxantel,Bacillus amyloliquefaciens,0,1053,17
"1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid",Listeria monocytogenes serotype 4a,0,114,105
Sulfacetamide,Escherichia coli,1,1222,69
"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)hexanamide",Hafnia alvei,0,968,79
Trimethyl(3-{4-[3-(trimethylazaniumyl)propoxy]phenoxy}propyl)azanium dibromide,Staphylococcus aureus,1,1290,141
"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole",Streptococcus epidermidis,1,214,152
3-tetradecanoylthiotetronic,Pseudomonas japonica,0,305,128
Azithromycin,Escherichia coli ,1,456,70
Asperdiol,Staphylococcus aureus,1,446,141
Pyrazinamide,Mycobacterium tuberculosis,1,1122,113
(Z)-4-bromo-5-(bromomethylene)-3-ethyl-2(5H)-furanone,Salmonella enterica,1,105,133
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(ethylthio)-1,3,4-oxadiazole",Candida guiliermondi,0,194,37
Glucose,Streptococcus parasanguinis,0,783,157
Ethyl gallate,Bacillus anthracis,0,722,18
2-amino-3-(prop-2-ene-1-sulfinyl)propanoic acid,Enteric bacteria and other eubacteria ,0,229,60
(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate,Streptococcus mutans,1,11,155
Ibuprofen,Sphingomonas sp. Ibu-2,1,819,139
Piperacillin,Streptococcus sobrinus,0,1102,164
Gentamicin,Enteric bacteria and other eubacteria,1,779,59
Rilpivirine,Human immunodeficiency virus 1,1,1156,92
2-amino-4-chlorobenzoic acid,Burkholderia multivorans,1,231,30
7P-AC,Serratia marcescens,0,410,136
Cefonicid,Escherichia coli,1,550,69
"(2S,3R,4S,5S,6R)-3-(2-(1H-Indol-3-yl)acetamido)-6-(acetoxymethyl)tetrahydro-2H-pyran-2,4,5-triyl triacetate",Enterococcus faecium,0,56,67
(Z)-4-bromo-5-(bromomethylene)-3-ethyl-2(5H)-furanone,Human herpesvirus 1 ,0,105,87
4-dimethyl-amino-cinnamaldehyde,Clostridium pasteurianum,0,353,46
(R)-2-Amino-3-biphenyl-3-yl-propionic acid,Influenza B virus ,0,92,97
Benzophenonyl decyl beta-maltoside,Salmonella Typhi,0,478,132
Myxinidin2,Staphylococcus aureus,1,957,141
Ethylenediametetraacetic acid,Listeria monocytogenes,1,724,104
Azlocillin,Hafnia paralvei,0,457,80
Esculin hydrate,Burkholderia multivorans,1,717,30
"(Z)-5-octylidenethiazolidine-2,4-dione",Candida krusei,0,111,38
"(E)-1-[6-[(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethyl-2H-1-benzopyran-8-yl]-3-phenyl-2-propen-1-one",Candida parapsilosis,0,88,39
Gemifloxacin,Haemophilus influenzae,1,777,78
Lopinavir,Porphyromonas gingivalis,0,905,119
beta-6-20-G3K6,Clostridium pasteurianum,0,1344,46
Doripenem,Clostridium perfringens ,0,692,48
Methyl benzethonium chloride,Campylobacter jejuni,0,931,33
Coprinuslactone,Streptococcus sanguis,0,615,163
"4-(2-(5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazol-2-yl)vinyl)-2-methoxyphenol",Providencia stuartii,0,312,123
Oxytetracycline,Dihydropteroate synthase type-1,0,1056,55
Butoconazole nitrate,Serratia liquefaciens,0,501,135
"5-Chloro-1-(2-chloroacetyl)indoline-2,3-dione",Cryptococcus neoformans,0,377,52
Esculetin,Burkholderia cenocepacia,1,715,28
Anthranilate,Bacteroides uniformis,0,442,25
7-hydroxyindole,Corynebacterium ammoniagenes,0,406,50
Cefalonium,Listeria monocytogenes,1,539,104
16P-AC,Burkholderia cepacia,0,165,29
Sage oil,Streptococcus pneumoniae,0,1179,158
Penciclovir,Human herpesvirus 1 ,1,1073,87
den-SB056-1,Eikenella corrodens,0,1362,58
Nafcillin,Burkholderia cenocepacia,0,1008,28
3-tetradecanoylthiotetronic,Staphylococcus aureus,1,305,141
Palmitic acid,Escherichia coli,1,1065,69
Tipranavir ,Varicella-zoster virus,0,1277,172
Zotepine,Hepatitis C Virus ,0,1334,85
Gatifloxacin,Streptococcus pneumoniae serotype 4,1,776,159
Human beta-defensin 3,Candida albicans,1,809,34
Lymecycline,Streptococcus pneumoniae,0,909,158
VSL2,Candida guiliermondi,0,1306,37
Telekin,Citrobacter freundii,0,1253,43
"O-(2,6-Dichlorobenzyl)-D-tyrosine",Halomonas pacifica,0,1034,81
Cloxacillin,Streptococcus pneumoniae serotype 4,1,606,159
Tyrosol,Candida albicans,1,1295,34
L-Aspartate,Staphylococcus aureus,1,866,141
LF11-215,Bacillus anthracis,0,879,18
Butyl gallate,Staphylococcus aureus,1,502,141
Penicillenol B1,Coagulase- negative staphylococci,0,1076,49
1-(pyrazin-2-yl)ethan-1-one,Pseudomonas aeruginosa,1,129,125
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-nitrophenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Burkholderia multivorans,0,118,30
Phenobarbitone,Candida albicans,1,1089,34
Polysorbate 80,Stenotrophomonas maltophilia,1,1110,151
Cinoxacin,Haemophilus influenzae,1,589,78
Daptomycin,Aquifex aeolicus,0,657,13
Clarithromycin,Human herpesvirus 3,0,595,88
Cefazolin,Escherichia coli,1,543,69
O-LF11-227,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),0,1036,71
4-bromo-5-(bromomethylene)-3-(1-( 2-propynyloxy)butyl)-2(5H)-furanone,Aspergillus fumigatus,0,341,15
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-octanamidotetrahydro-2H-pyran-2,4,5-triyl triacetate",Shewanella oneidensis,0,67,137
n-Hexane,Baker's yeast,0,1374,27
AAP2,Vibrio harveyi,0,414,176
3-(4-fluorophenyl)-5-(3-ethoxy- 4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus aureus,1,273,141
5- hydroxyethyl-3-tetradecanoyltetramic acid,Staphylococcus aureus,1,366,141
D-Cystine,Staphylococcus aureus,1,634,141
1-mesityl-3(4-nitrophenyl)urea,Streptococcus mutans,1,136,155
"2-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-5-(ethylthio)-1,3,4-oxadiazole",Staphylococcus aureus,1,194,141
Chrysophsin-1,Human herpesvirus 3,0,582,88
Clindamycin,Propionibacterium acnes,1,599,120
"5,8,11,14-Eicosatetraynoic acid",Candida albicans,1,365,34
Penicillenol C1,Staphylococcus aureus,1,1078,141
Zanamivir,Influenza A virus ,1,1325,95
G2,Streptococcus mutans,1,765,155
1-{4-phenyl-2-[(E)-2-[4-(trifluoromethoxy)phenyl]ethenyl]quinolin-3-yl}ethan-1-one,Bacillus subtilis,1,143,21
Limonene,Bacillus cereus,1,899,19
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Varicella-zoster virus,0,117,172
6-MO-LF11-322,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),0,396,71
Neohesperidin,Enterococcus faecium,0,1013,67
Ajoene,Listeria ivanovii,0,423,103
Tetracycline,Escherichia coli,1,1263,69
Anidulafungin,Aspergillus niger,1,439,16
2-(2-(2-Chloroacetamido)-5-nitrophenyl)-2-oxo-N-( prop-2-yn-1-yl)acetamide,Acinetobacter sp.,0,188,5
Methyl indole-7-carboxylate,Enterococcus faecium,0,934,67
D-Asparagine,Eubacterium ramulus,0,630,72
Cefmenoxime,Clostridium perfringens ,1,548,48
"3,5-Diiodotyrosine",Bacillus anthracis,0,257,18
Triclosan ,Helicobacter pylori ,1,1285,82
Dirithromycin,Enteric bacteria and other eubacteria,1,686,59
Cloxacillin,Dengue Virus Type 2,0,606,53
4-nitro-cinnamaldehyde,Bacteroides,0,358,22
Zinc oxide,Staphylococcus aureus,1,1331,141
D-Tryptophan,Trueperella pyogenes,0,641,171
6-Chlorooxindole,Streptococcus mitis,0,392,154
Indole-3-acetaldehyde,Dihydropteroate synthase type-1,0,828,55
Lopinavir,Human immunodeficiency virus 1,1,905,92
Aminosalicylic Acid,Fusarium solani,0,433,75
Cinnamaldehyde,Pseudoalteromonas sp.,0,585,124
5-Fluorouracil,Pseudomonas aeruginosa,1,380,125
DD13,Staphylococcus cohnii,0,648,145
"1-{6-nitro-4-phenyl-2-[(E)-2-(3,4,5-trimethoxyphenyl)ethenyl]quinolin-3-yl}ethan-1-one",Thermus thermophilus ,0,144,169
Cefotiam,Clostridium perfringens ,1,555,48
Miconazole,Thermus thermophilus,0,940,168
4-Methyl benzyl dodecyl beta-maltoside,Listeria ivanovii,0,337,103
Fleroxacin,Haemophilus influenzae,1,740,78
"1,3-dim-tolyurea",Raoultella ornithinolytica,0,116,131
Bergamottin,Streptococcus pneumoniae serotype 4,0,482,159
Phloridzin,Staphylococcus aureus,1,1095,141
trans-Resveratrol,Porphyromonas gingivalis,0,1392,119
"13-(2-chloro-6-methylquinolin-3-yl)-3,3-dimethyl-1H,2H,3H,4H,6H,11H,13H-indazolo[1,2-b]phthalazine-1,6,11-trione",Candida albicans,1,152,34
L-Phenylalanine,Bacteroides,0,869,22
Prolificin A,Staphylococcus epidermidis,1,1115,146
GL13K,Sphingomonas sp. Ibu-2,0,766,139
"14-dehydroxy-11,12-didehydroandrographolide- 3,19-bis(succinic acid) potasium sodium salt",Geobacillus kaustophilus,0,163,77
11(R)-hydroxy-12(20)-en-knightal,Listeria monocytogenes,0,147,104
DispersinB-KSL-W wound gel,Aquifex aeolicus,0,687,13
Kanamycin,Escherichia coli,1,858,69
14-Glycinyl andrographolide hydrochloride,Streptomyces sp. ,0,161,167
Hexameric peptide,Escherichia coli,1,802,69
Imazalil,Candida albicans,1,821,34
7P-AC,Staphylococcus epidermidis,1,410,146
3-hexyl-4-bromo-5-methylene-2(5H)-furanone,Burkholderia multivorans,0,298,30
"(R)-2,3-Diaminopropanoic acid",Staphylococcus capitis,0,91,142
Cefmetazole,Listeria monocytogenes,1,549,104
Azithromycin,Mycobacterium avium,1,456,110
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Staphylococcus epidermidis,1,272,146
Midazolam,Bacillus cereus,0,941,19
(Z)-3-bromo-5-(bromomethylene) furan-2(5H)-one,Edwardsiella tarda,0,100,56
N-[(3-chloro-isoquinolin-4-yl)methylene]benzohydrazide,Staphylococcus equorum,0,988,148
Cefotaxime,Bacillus subtilis,1,553,21
3-(Trifluoromethyl)phenylalanine,Gardnerella vaginalis,0,275,76
"Dihydroxybenzoic Acid (3,4-DHBA)",Geobacillus kaustophilus,0,681,77
Nitrofural,Escherichia coli,1,1022,69
Sulfacytine,Escherichia coli,1,1223,69
ZnO nanoparticles,Pseudomonas aeruginosa,1,1333,125
3-hydroxychalcone,Streptococcus mitis,0,300,154
4-fluoroindole,Acinetobacter baumannii,0,354,2
"(5Z)-2-(1,1-dichloro-7-methyloctyl)-5-{[4-(trifluoromethyl)phenyl]methylidene}-1,3-oxazolidin-4-one",Mycobacterium tuberculosis,0,82,113
Chrysophsin-1,Pseudomonas putida,0,582,130
Cathelicidin,Aggregatibacter actinomycetemcomitans,1,533,11
Methyl gallate,Enterococcus faecalis,1,933,66
D-2-aminoadipic acid,Influenza B virus,0,628,96
Phylloseptin-1,Listeria monocytogenes serotype 4a,0,1098,105
Aciclovir,Varicella-zoster virus,1,420,172
Gallium cation,Raoultella ornithinolytica,0,771,131
(RW)4-NH2,Escherichia coli,1,97,69
Amprenavir,Human immunodeficiency virus 1,1,438,92
1-(4-methoxyphenyl)-3-m-tolyurea,Streptococcus mutans,1,126,155
2-bromooctanoic acid,Pseudomonas aeruginosa,1,239,125
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one",Bacillus amyloliquefaciens,0,25,17
3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,Enterococcus faecalis,1,276,66
Sanguinarine,Staphylococcus epidermidis,1,1182,146
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one",Staphylococcus aureus,1,20,141
Vitexin,Streptococcus gordonii,0,1318,153
Sm6(L3)2C,Enterococcus gallinarum,0,1206,68
4-bromo-5-(dibromomethylene)-3-ethyl-2(5H)-furanone,Salmonella enterica,1,348,133
1-{2-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-4-phenylquinolin-3-yl}ethan-1-one,Escherichia coli,1,140,69
Tyrphostin 9,Pichia anomala,0,1296,117
(Z)-5-(chloromethylene) furan-2(5H)-one,Enterobacteria phage T4,0,109,65
Sm6(L3)2C,Klebsiella planticola,0,1206,98
Ceforanide,Bacteroides fragilis,1,552,24
Brecanavir,Eggerthella lenta,0,493,57
Vancomycin,Staphylococcus aureus,1,1307,141
Cecropin (1-7)-melittin A (2-9) amide,Human herpesvirus 1 ,0,534,87
BMAP-28,Pseudomonas aeruginosa,1,461,125
Oxacillin,Streptococcus pneumoniae,1,1052,158
"1,3-dimethyl-6-(4-methylphenyl)-5-[3-(4-nitrophenyl)-1-phenyl-1H-pyrazol-4-yl]-1H,2H,3H,4H,5H,6H-pyrimido[4,5-d][1,3]diazine-2,4-dione",Klebsiella variicola,0,118,100
4-tertiary butyl benzyl decyl beta-maltoside,Pseudomonas aeruginosa,1,360,125
Pseudomonas Quinolone Signal,Staphylococcus haemolyticus,0,1120,149
Hesperidin,Staphylococcus aureus,1,799,141
Myxinidin1,Staphylococcus cohnii,0,956,145
Tobramycin,Pseudomonas aeruginosa,1,1279,125
Raltegravir,Human herpesvirus 4,0,1144,89
Tannic acid,Enterococcus faecium,0,1245,67
Lomefloxacin,Haemophilus influenzae,1,904,78
Kojic acid,Pseudomonas aeruginosa,1,861,125
3-Fluoro-DL-phenylalanine,Vibrio campbellii,0,282,174
Latamoxef,Vibrio cholerae,0,894,175
KSL-W,Candida albicans,1,855,34
Heptadecanoic acid,Arthrobacter sp. ,0,796,14
D-Citrulline,Shigella flexneri,0,633,138
Butyl gallate,Pseudomonas aeruginosa,1,502,125
IDR-1018,Enterococcus faecalis,0,814,66
Polymyxin B,Stenotrophomonas maltophilia,1,1109,151
Asperdiol acetate,Pseudomonas aeruginosa,1,447,125
Apigenin,Escherichia coli,1,443,69
4-bromo-5-(bromomethylene)-3-(1-bromobutyl)-2(5H)-furanone,Bacillus subtilis,0,344,21
Avermectin B1a,Dengue Virus Type 2,0,453,53
Atovaquone,Plasmodium falciparum,1,450,118
Atazanavir,Human immunodeficiency virus,1,449,91
"(Z)-5-decylidenethiazolidine-2,4-dione",Streptococcus mutans,0,110,155
NA-CATH-ATRA1-ATRA1,Bacillus amyloliquefaciens,0,998,17
Pa-MAP,Pseudomonas aeruginosa,0,1063,125
L-ornithine hydrochloride,Streptococcus gordonii,0,876,153
Timolol,Obesumbacterium proteus,0,1274,115
Amantadine,Influenza A virus ,1,429,95
Indolicidin,Enteric bacteria and other eubacteria,0,833,59
Methylthiopropylamine,Hepatitis C Virus ,0,935,85
Cefoxitin,Streptococcus pneumoniae,1,556,158
"(Z)-5-decylidenethiazolidine-2,4-dione",Listeria monocytogenes serotype 4a,0,110,105
"N-((2R,3R,4S,5S,6R)-2,4,5-Trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-3-yl)hexanamide",Pseudomonas aeruginosa,1,968,125
Thiazolidinedione-8,Enterobacter aerogenes,0,1266,61
(2S)-2-amino-3-(4-tert-butylphenyl)propanoic acid,Aspergillus fumigatus,0,53,15
Chrysophsin-1,Streptococcus mutans,1,582,155
Cefalonium,Aeromonas sobria,0,539,10
Autoinducer-2,Staphylococcus epidermidis,1,452,146
N-Acetylcysteine,Staphylococcus aureus,1,984,141
"1,3-dim-tolyurea",Streptococcus mutans,1,116,155
4-Nitro-D-phenylalanine,Enterococcus gallinarum,0,339,68
Azithromycin,Raoultella ornithinolytica,0,456,131
Dapsone,Mycobacterium leprae,1,656,111
p-Coumaric acid,Escherichia coli,1,1379,69
Mucochloric acid,Proteus mirabilis,0,948,121
Carvacrol,Achromobacter sp.,0,529,0
BMAP-28,Staphylococcus aureus,1,461,141
"N-((1E)-{4-ethoxy-3-[(8-oxo-1,5,6,8-tetrahydro-2H-1,5-methanopyrido[1,2-a][1,5]diazocin-3(4H)-yl)methyl]phenyl}methylene)-3,4,5-trihydroxybenzohydrazide",Staphylococcus epidermis,0,965,147
DispersinB-KSL-W wound gel,Staphylococcus epidermidis,1,687,146
Ofloxacin,Haemophilus influenzae,1,1044,78
NA8H,Achromobacter xylosoxidans,0,1002,1
Coprinuslactone,Vibrio parahaemolyticus,0,615,177
Ferulic Acid,Human herpesvirus 1 ,0,736,87
Benzoylperoxide,Staphylococcus caprae,0,479,143
Linezolid,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),0,901,71
Propyl gallate,Streptococcus mutans,1,1117,155
Daptomycin,Staphylococcus aureus,1,657,141
L-pipecolic acid,Staphylococcus aureus,1,877,141
Teichoplanin,Candida dubliniensis,0,1250,35
N -(5-bromo-2-hydroxy-benzylidene)benzohydrazide,Streptococcus mutans,1,961,155
Glipizide,Vibrio anguillarum,0,782,173
Gallic Acid,Staphylococcus aureus,1,769,141
Quinupristin,Enteric bacteria and other eubacteria,1,1133,59
Fosfomycin,Staphylococcus equorum,0,748,148
Rifapentine ,Human immunodeficiency virus,0,1155,91
Hamamelitannin,Staphylococcus epidermidis,1,794,146
Ferulic Acid,Raoultella ornithinolytica,0,736,131
Lymecycline,Escherichia coli,1,909,69
Indole,Burkholderia multivorans,1,827,30
HA14-1,Varicella-zoster virus,0,790,172
Hexyl gallate,Pseudomonas aeruginosa,1,803,125
Shikonin,Pseudomonas libaniensis,0,1190,129
Gentamicin,Bacillus subtilis,1,779,21
Toremifene,Pseudomonas aeruginosa,1,1282,125
(2E)-3-(3-hydroxy-4-methoxyphenyl)-1-phenylprop-2-en-1-one,Hepatitis C virus,0,34,86
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one",Streptococcus mutans,1,16,155
Cycloserine,Escherichia coli,1,623,69
Enfuvirtide,Human immunodeficiency virus 1,1,703,92
Oxyresveratrol,Clostridium bacilli,0,1055,44
Atazanavir,Vibrio campbellii,0,449,174
Aminosalicylic Acid,Mycobacterium tuberculosis,1,433,113
Menthol,Listeria monocytogenes serotype 4a,0,925,105
Sulfisoxazole ,Acinetobacter baumannii,0,1237,2
14-alpha-lipoyl andrographolide,Pseudomonas aeruginosa,1,162,125
Vitamin C,Escherichia coli,1,1316,69
Floxacillin ,Clostridium perfringens ,1,741,48
Aztreonam,Citrobacter freundii,1,458,43
Sorbitol,Actinoplanes missouriensis,1,1210,8
1-(4-amino-2-hydroxyphenyl)ethan-1-one,Pseudomonas aeruginosa,1,123,125
C16-33,Candida glabrata,0,504,36
Tannic acid,Aquifex aeolicus,0,1245,13
Scrambled LL-37,Aggregatibacter actinomycetemcomitans,1,1185,11
CWR11,Escherichia coli,0,514,69
(E)-3-Decen-2-one,Vibrio harveyi,1,89,176
Holothuroidin 2,Staphylococcus epidermidis,1,807,146
(Z)-4-bromo-5-(bromomethylene)-3-ethyl-2(5H)-furanone,Vibrio parahaemolyticus,0,105,177
"(R)-2,3-Diaminopropanoic acid",Vibrio vulnificus,0,91,178
Epigallocatechin,Burkholderia multivorans,0,709,30
Pyrimidinedione,Staphylococcus aureus,1,1124,141
FS8,Human respiratory syncytial virus B,0,730,94
2-(5-Chloro-2-(2-chloroacetamido)phenyl )-2-oxo-N-( prop-2-yn-1-yl)acetamide,Aspergillus niger,0,210,16
Acetohydroxamic Acid,Enterobacter aerogenes,1,418,61
Decyl beta-maltoside,Pantoea agglomerans,0,660,116
DispersinB-KSL-W wound gel,Vibrio cholerae,0,687,175
Atazanavir,Human immunodeficiency virus 1,1,449,92
cis-2-dodecenoic acid,Candida albicans,1,1352,34
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-bromophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate",Enterococcus gallinarum,0,58,68
Triclosan ,Clostridium perfringens,0,1285,47
Linezolid,Human herpesvirus 5,0,901,90
Sulfacetamide,Dihydropteroate synthase type-1,1,1222,55
LL-37,Acinetobacter baumannii,1,888,2
N -(3-nitro-4-hydroxy-benzylidene)benzohydrazide,Streptococcus mutans,1,959,155
